Experiment: 20250413_214726
Density: 0.2
Vertexes: 20 - 400, delta: 20
Same vertex amount repeat times: 10

20 vertexes:
Attempt 1: 0.040300190448760986ms
Attempt 2: 0.01819990575313568ms
Attempt 3: 0.015200115740299225ms
Attempt 4: 0.014800112694501877ms
Attempt 5: 0.025700312107801437ms
Attempt 6: 0.025399960577487946ms
Attempt 7: 0.033800024539232254ms
Attempt 8: 0.0342000275850296ms
Attempt 9: 0.021200161427259445ms
Attempt 10: 0.03640027716755867ms
Average time: 0.026520108804106712ms
40 vertexes:
Attempt 1: 0.1517999917268753ms
Attempt 2: 0.16109971329569817ms
Attempt 3: 0.1375996507704258ms
Attempt 4: 0.16620010137557983ms
Attempt 5: 0.14350004494190216ms
Attempt 6: 0.17119990661740303ms
Attempt 7: 0.16119983047246933ms
Attempt 8: 0.14989962801337242ms
Attempt 9: 0.18720002844929695ms
Attempt 10: 0.166300218552351ms
Average time: 0.1595999114215374ms
60 vertexes:
Attempt 1: 0.4879999905824661ms
Attempt 2: 0.2807001583278179ms
Attempt 3: 0.3567999228835106ms
Attempt 4: 0.42079994454979897ms
Attempt 5: 0.34479983150959015ms
Attempt 6: 0.465999823063612ms
Attempt 7: 0.3884001635015011ms
Attempt 8: 0.48079993575811386ms
Attempt 9: 0.45449985191226006ms
Attempt 10: 0.30140019953250885ms
Average time: 0.39821998216211796ms
80 vertexes:
Attempt 1: 1.1585000902414322ms
Attempt 2: 0.9508999064564705ms
Attempt 3: 1.129399985074997ms
Attempt 4: 1.0619000531733036ms
Attempt 5: 1.1069001629948616ms
Attempt 6: 1.0357997380197048ms
Attempt 7: 1.0651997290551662ms
Attempt 8: 1.1486001312732697ms
Attempt 9: 0.887800008058548ms
Attempt 10: 1.0538999922573566ms
Average time: 1.059889979660511ms
100 vertexes:
Attempt 1: 1.7944998107850552ms
Attempt 2: 2.0734001882374287ms
Attempt 3: 1.7670001834630966ms
Attempt 4: 2.063499763607979ms
Attempt 5: 2.0053000189363956ms
Attempt 6: 1.83819979429245ms
Attempt 7: 1.8909000791609287ms
Attempt 8: 2.1208003163337708ms
Attempt 9: 1.9331001676619053ms
Attempt 10: 1.9172001630067825ms
Average time: 1.9403900485485792ms
120 vertexes:
Attempt 1: 2.929400186985731ms
Attempt 2: 3.056500107049942ms
Attempt 3: 3.3680000342428684ms
Attempt 4: 2.5797002017498016ms
Attempt 5: 3.212499897927046ms
Attempt 6: 3.09550017118454ms
Attempt 7: 3.4861001186072826ms
Attempt 8: 3.2684998586773872ms
Attempt 9: 3.6375001072883606ms
Attempt 10: 3.390599973499775ms
Average time: 3.2024300657212734ms
140 vertexes:
Attempt 1: 5.337500013411045ms
Attempt 2: 5.364800337702036ms
Attempt 3: 5.368500016629696ms
Attempt 4: 5.320599768310785ms
Attempt 5: 4.944100044667721ms
Attempt 6: 5.837100092321634ms
Attempt 7: 5.249499808996916ms
Attempt 8: 5.058800335973501ms
Attempt 9: 5.2767000161111355ms
Attempt 10: 5.08839963003993ms
Average time: 5.28460000641644ms
160 vertexes:
Attempt 1: 7.433800026774406ms
Attempt 2: 7.981200236827135ms
Attempt 3: 7.649799808859825ms
Attempt 4: 7.707000244408846ms
Attempt 5: 7.718199864029884ms
Attempt 6: 7.7240001410245895ms
Attempt 7: 7.40129966288805ms
Attempt 8: 7.624899968504906ms
Attempt 9: 8.073699660599232ms
Attempt 10: 8.190100081264973ms
Average time: 7.750399969518185ms
180 vertexes:
Attempt 1: 11.225500144064426ms
Attempt 2: 10.61949972063303ms
Attempt 3: 10.940399952232838ms
Attempt 4: 11.536099947988987ms
Attempt 5: 10.930200107395649ms
Attempt 6: 11.803899891674519ms
Attempt 7: 10.699599981307983ms
Attempt 8: 10.550000239163637ms
Attempt 9: 12.141200248152018ms
Attempt 10: 10.445500258356333ms
Average time: 11.089190049096942ms
200 vertexes:
Attempt 1: 14.22670017927885ms
Attempt 2: 15.411900356411934ms
Attempt 3: 14.88529983907938ms
Attempt 4: 14.169900212436914ms
Attempt 5: 14.756400138139725ms
Attempt 6: 16.54070010408759ms
Attempt 7: 14.82080016285181ms
Attempt 8: 14.91349982097745ms
Attempt 9: 14.738400001078844ms
Attempt 10: 14.455599710345268ms
Average time: 14.891920052468777ms
220 vertexes:
Attempt 1: 18.776700366288424ms
Attempt 2: 19.259999971836805ms
Attempt 3: 17.992400098592043ms
Attempt 4: 19.28200013935566ms
Attempt 5: 19.142099656164646ms
Attempt 6: 17.657999880611897ms
Attempt 7: 16.916999593377113ms
Attempt 8: 18.866400234401226ms
Attempt 9: 18.795700278133154ms
Attempt 10: 20.19750000908971ms
Average time: 18.688780022785068ms
240 vertexes:
