Experiment: 20250413_044238
Density: 0.2
Vertexes: 20 - 400, delta: 10
Same vertex amount repeat times: 10

20 vertexes:
Attempt 1: 0.027900096029043198ms
Attempt 2: 0.029599759727716446ms
Attempt 3: 0.015099998563528061ms
Attempt 4: 0.02150004729628563ms
Attempt 5: 0.03060000017285347ms
Attempt 6: 0.007199589163064957ms
Attempt 7: 0.01969980075955391ms
Attempt 8: 0.02400018274784088ms
Attempt 9: 0.022899825125932693ms
Attempt 10: 0.01929979771375656ms
Average time: 0.02177990972995758ms
30 vertexes:
Attempt 1: 0.05759997293353081ms
Attempt 2: 0.0342000275850296ms
Attempt 3: 0.059499870985746384ms
Attempt 4: 0.06440002471208572ms
Attempt 5: 0.05970010533928871ms
Attempt 6: 0.07370021194219589ms
Attempt 7: 0.06069988012313843ms
Attempt 8: 0.06620027124881744ms
Attempt 9: 0.038499943912029266ms
Attempt 10: 0.0020996667444705963ms
Average time: 0.051659997552633286ms
40 vertexes:
Attempt 1: 0.028299633413553238ms
Attempt 2: 0.10109972208738327ms
Attempt 3: 0.107599887996912ms
Attempt 4: 0.121300108730793ms
Attempt 5: 0.10930001735687256ms
Attempt 6: 0.10009994730353355ms
Attempt 7: 0.11309981346130371ms
Attempt 8: 0.14299992471933365ms
Attempt 9: 0.0692000612616539ms
Attempt 10: 0.10399986058473587ms
Average time: 0.09969989769160748ms
50 vertexes:
Attempt 1: 0.19880011677742004ms
Attempt 2: 0.2060001716017723ms
Attempt 3: 0.18159998580813408ms
Attempt 4: 0.16069971024990082ms
Attempt 5: 0.18820026889443398ms
Attempt 6: 0.2484000287950039ms
Attempt 7: 0.23090001195669174ms
Attempt 8: 0.20279968157410622ms
Attempt 9: 0.17589982599020004ms
Attempt 10: 0.25569973513484ms
Average time: 0.2048999536782503ms
60 vertexes:
Attempt 1: 0.306200236082077ms
Attempt 2: 0.2367999404668808ms
Attempt 3: 0.3073001280426979ms
Attempt 4: 0.3100000321865082ms
Attempt 5: 0.42770011350512505ms
Attempt 6: 0.27169985696673393ms
Attempt 7: 0.40030013769865036ms
Attempt 8: 0.37949997931718826ms
Attempt 9: 0.412600114941597ms
Attempt 10: 0.42109983041882515ms
Average time: 0.34732003696262836ms
70 vertexes:
Attempt 1: 0.6622998043894768ms
Attempt 2: 0.5594003014266491ms
Attempt 3: 0.6039999425411224ms
Attempt 4: 4.421600140631199ms
Attempt 5: 0.6106998771429062ms
Attempt 6: 1.303700264543295ms
Attempt 7: 0.5703000351786613ms
Attempt 8: 1.171099953353405ms
Attempt 9: 0.6768996827304363ms
Attempt 10: 0.6190999411046505ms
Average time: 1.1199099943041801ms
80 vertexes:
Attempt 1: 0.8819000795483589ms
Attempt 2: 0.78959995880723ms
Attempt 3: 0.6627002730965614ms
Attempt 4: 0.8494001813232899ms
Attempt 5: 0.6812000647187233ms
Attempt 6: 0.8928002789616585ms
Attempt 7: 0.8604996837675571ms
Attempt 8: 0.9090998210012913ms
Attempt 9: 0.6864001043140888ms
Attempt 10: 0.8764998055994511ms
Average time: 0.809010025113821ms
90 vertexes:
Attempt 1: 1.2555001303553581ms
Attempt 2: 1.2523001059889793ms
Attempt 3: 0.4683001898229122ms
Attempt 4: 1.2023001909255981ms
Attempt 5: 1.261299941688776ms
Attempt 6: 1.172100193798542ms
Attempt 7: 0.9880000725388527ms
Attempt 8: 1.0224999859929085ms
Attempt 9: 1.0792999528348446ms
Attempt 10: 1.238000113517046ms
Average time: 1.0939600877463818ms
100 vertexes:
Attempt 1: 1.4228997752070427ms
Attempt 2: 1.40330009162426ms
Attempt 3: 1.5759002417325974ms
Attempt 4: 1.6382001340389252ms
Attempt 5: 1.509800087660551ms
Attempt 6: 1.8934998661279678ms
Attempt 7: 1.4574998058378696ms
Attempt 8: 1.187100075185299ms
Attempt 9: 1.3890000991523266ms
Attempt 10: 1.6133002936840057ms
Average time: 1.5090500470250845ms
110 vertexes:
Attempt 1: 2.064799889922142ms
Attempt 2: 1.8505998887121677ms
Attempt 3: 1.935499720275402ms
Attempt 4: 2.175599802285433ms
Attempt 5: 2.2978000342845917ms
Attempt 6: 2.003300003707409ms
Attempt 7: 2.168700098991394ms
Attempt 8: 2.192799933254719ms
Attempt 9: 2.276499755680561ms
Attempt 10: 1.9423002377152443ms
Average time: 2.0907899364829063ms
120 vertexes:
Attempt 1: 2.7358997613191605ms
Attempt 2: 2.513000275939703ms
Attempt 3: 2.799800131469965ms
Attempt 4: 3.4204996190965176ms
Attempt 5: 2.977900207042694ms
Attempt 6: 2.896600402891636ms
Attempt 7: 2.4363999255001545ms
Attempt 8: 2.775600180029869ms
Attempt 9: 2.8329999186098576ms
Attempt 10: 2.659799996763468ms
Average time: 2.8048500418663025ms
130 vertexes:
Attempt 1: 3.3126999624073505ms
Attempt 2: 3.5635000094771385ms
Attempt 3: 3.0420999974012375ms
Attempt 4: 3.482499625533819ms
Attempt 5: 3.4305001609027386ms
Attempt 6: 3.4643998369574547ms
Attempt 7: 3.415000159293413ms
Attempt 8: 3.314599860459566ms
Attempt 9: 3.3551999367773533ms
Attempt 10: 3.1449999660253525ms
Average time: 3.3525499515235424ms
140 vertexes:
Attempt 1: 4.170399624854326ms
Attempt 2: 4.79100039228797ms
Attempt 3: 4.321499727666378ms
Attempt 4: 4.10989997908473ms
Attempt 5: 3.908799961209297ms
Attempt 6: 4.076099954545498ms
Attempt 7: 3.9715999737381935ms
Attempt 8: 4.503400065004826ms
Attempt 9: 4.040099680423737ms
Attempt 10: 4.4652000069618225ms
Average time: 4.235799936577678ms
150 vertexes:
Attempt 1: 5.253300070762634ms
Attempt 2: 5.084299948066473ms
Attempt 3: 5.19500020891428ms
