Experiment: 20250413_045924
Density: 1
Vertexes: 20 - 400, delta: 10
Same vertex amount repeat times: 10

20 vertexes:
Attempt 1: 0.03929995000362396ms
Attempt 2: 0.0342000275850296ms
Attempt 3: 0.03969995304942131ms
Attempt 4: 0.030399765819311142ms
Attempt 5: 0.03300001844763756ms
Attempt 6: 0.03550015389919281ms
Attempt 7: 0.030500348657369614ms
Attempt 8: 0.0300002284348011ms
Attempt 9: 0.030199997127056122ms
Attempt 10: 0.030099879950284958ms
Average time: 0.03329003229737282ms
30 vertexes:
Attempt 1: 0.07729977369308472ms
Attempt 2: 0.0754999928176403ms
Attempt 3: 0.07959967479109764ms
Attempt 4: 0.1705000177025795ms
Attempt 5: 0.12900028377771378ms
Attempt 6: 0.0908002257347107ms
Attempt 7: 0.08479971438646317ms
Attempt 8: 0.08539995178580284ms
Attempt 9: 0.08050026372075081ms
Attempt 10: 0.07980037480592728ms
Average time: 0.09532002732157707ms
40 vertexes:
Attempt 1: 0.1680999994277954ms
Attempt 2: 0.15880027785897255ms
Attempt 3: 0.15320023521780968ms
Attempt 4: 0.15169987455010414ms
Attempt 5: 0.15949970111250877ms
Attempt 6: 0.14670006930828094ms
Attempt 7: 0.15780003741383553ms
Attempt 8: 0.1542000100016594ms
Attempt 9: 0.15120021998882294ms
Attempt 10: 0.15170034021139145ms
Average time: 0.15529007650911808ms
50 vertexes:
Attempt 1: 0.2701999619603157ms
Attempt 2: 0.2701999619603157ms
Attempt 3: 0.273099634796381ms
Attempt 4: 0.26510003954172134ms
Attempt 5: 0.27009984478354454ms
Attempt 6: 0.26539992541074753ms
Attempt 7: 0.32609980553388596ms
Attempt 8: 0.3490997478365898ms
Attempt 9: 0.29399991035461426ms
Attempt 10: 0.30250009149312973ms
Average time: 0.28857989236712456ms
60 vertexes:
Attempt 1: 0.6002001464366913ms
Attempt 2: 0.4662000574171543ms
Attempt 3: 0.4528001882135868ms
Attempt 4: 0.439200084656477ms
Attempt 5: 0.4553999751806259ms
Attempt 6: 0.45080017298460007ms
Attempt 7: 0.49000000581145287ms
Attempt 8: 0.5095000378787518ms
Attempt 9: 0.457600224763155ms
Attempt 10: 0.47190021723508835ms
Average time: 0.47936011105775833ms
70 vertexes:
Attempt 1: 0.7289000786840916ms
Attempt 2: 0.7168999873101711ms
Attempt 3: 0.8805999532341957ms
Attempt 4: 0.7078000344336033ms
Attempt 5: 0.6990996189415455ms
Attempt 6: 0.7144003175199032ms
Attempt 7: 0.6945999339222908ms
Attempt 8: 0.7196003571152687ms
Attempt 9: 0.7227002643048763ms
Attempt 10: 0.7841000333428383ms
Average time: 0.7368700578808784ms
80 vertexes:
Attempt 1: 0.9868000634014606ms
Attempt 2: 1.01169990375638ms
Attempt 3: 1.1196001432836056ms
Attempt 4: 0.9804996661841869ms
Attempt 5: 0.9625996463000774ms
Attempt 6: 0.9641996584832668ms
Attempt 7: 0.9230999276041985ms
Attempt 8: 0.99909957498312ms
Attempt 9: 0.9360997937619686ms
Attempt 10: 1.040599774569273ms
