Experiment: 20250413_050228
Density: 0.8
Vertexes: 20 - 400, delta: 10
Same vertex amount repeat times: 10

20 vertexes:
Attempt 1: 0.04039984196424484ms
Attempt 2: 0.03609992563724518ms
Attempt 3: 0.03699958324432373ms
Attempt 4: 0.03460003063082695ms
Attempt 5: 0.0342000275850296ms
Attempt 6: 0.0342000275850296ms
Attempt 7: 0.03460003063082695ms
Attempt 8: 0.03369990736246109ms
Attempt 9: 0.03589969128370285ms
Attempt 10: 0.06660027429461479ms
Average time: 0.03872993402183056ms
30 vertexes:
Attempt 1: 0.1531001180410385ms
Attempt 2: 0.10190019384026527ms
Attempt 3: 0.14170026406645775ms
Attempt 4: 0.08800020441412926ms
Attempt 5: 0.08379993960261345ms
Attempt 6: 0.08379993960261345ms
Attempt 7: 0.08399970829486847ms
Attempt 8: 0.08009979501366615ms
Attempt 9: 0.07930025458335876ms
Attempt 10: 0.07859990000724792ms
Average time: 0.0974300317466259ms
40 vertexes:
Attempt 1: 0.16199983656406403ms
Attempt 2: 0.17610006034374237ms
Attempt 3: 0.16060005873441696ms
Attempt 4: 0.15359977260231972ms
Attempt 5: 0.16669975593686104ms
Attempt 6: 0.1542000100016594ms
Attempt 7: 0.15940004959702492ms
Attempt 8: 0.15300000086426735ms
Attempt 9: 0.1579001545906067ms
Attempt 10: 0.15380000695586205ms
Average time: 0.15972997061908245ms
50 vertexes:
Attempt 1: 0.2755001187324524ms
Attempt 2: 0.26769982650876045ms
Attempt 3: 0.38659991696476936ms
Attempt 4: 0.2759997732937336ms
Attempt 5: 0.28249993920326233ms
Attempt 6: 0.2723000943660736ms
Attempt 7: 0.2685999497771263ms
Attempt 8: 0.2685999497771263ms
Attempt 9: 0.26590004563331604ms
Attempt 10: 0.2762000076472759ms
Average time: 0.28398996219038963ms
60 vertexes:
Attempt 1: 0.4377998411655426ms
Attempt 2: 0.4246002063155174ms
Attempt 3: 0.4346002824604511ms
Attempt 4: 0.42430032044649124ms
Attempt 5: 0.4376000724732876ms
Attempt 6: 0.4836004227399826ms
Attempt 7: 0.4448997788131237ms
Attempt 8: 0.42559998109936714ms
Attempt 9: 0.4545999690890312ms
Attempt 10: 0.42289961129426956ms
Average time: 0.4390500485897064ms
70 vertexes:
Attempt 1: 0.6499001756310463ms
Attempt 2: 0.641500111669302ms
Attempt 3: 0.6575002335011959ms
Attempt 4: 0.649899709969759ms
Attempt 5: 0.6620003841817379ms
Attempt 6: 0.6674998439848423ms
Attempt 7: 0.6606001406908035ms
Attempt 8: 0.674000009894371ms
Attempt 9: 0.66029978916049ms
Attempt 10: 0.6459001451730728ms
Average time: 0.6569100543856621ms
80 vertexes:
Attempt 1: 0.9531001560389996ms
Attempt 2: 0.9448998607695103ms
Attempt 3: 0.9920001029968262ms
Attempt 4: 0.9325998835265636ms
Attempt 5: 0.9577996097505093ms
Attempt 6: 1.0800003074109554ms
Attempt 7: 0.9531001560389996ms
Attempt 8: 0.9596003219485283ms
Attempt 9: 0.9273998439311981ms
Attempt 10: 0.9441003203392029ms
Average time: 0.9644600562751293ms
90 vertexes:
Attempt 1: 1.3062995858490467ms
Attempt 2: 1.334100030362606ms
Attempt 3: 1.3556000776588917ms
Attempt 4: 1.4685001224279404ms
Attempt 5: 1.3552997261285782ms
Attempt 6: 1.3359999284148216ms
Attempt 7: 1.3820002786815166ms
Attempt 8: 1.4037000946700573ms
Attempt 9: 1.4202999882400036ms
Attempt 10: 1.4164000749588013ms
Average time: 1.3778199907392263ms
100 vertexes:
Attempt 1: 1.8840995617210865ms
Attempt 2: 1.924899872392416ms
Attempt 3: 1.9160001538693905ms
Attempt 4: 1.9462001509964466ms
Attempt 5: 2.0574997179210186ms
Attempt 6: 2.0133000798523426ms
Attempt 7: 1.920399721711874ms
Attempt 8: 1.8906001932919025ms
Attempt 9: 1.9119000062346458ms
Attempt 10: 2.1184999495744705ms
Average time: 1.9583399407565594ms
110 vertexes:
Attempt 1: 2.5716996751725674ms
Attempt 2: 2.4792999029159546ms
Attempt 3: 2.4826000444591045ms
Attempt 4: 2.370100002735853ms
Attempt 5: 2.4395002983510494ms
Attempt 6: 2.3783999495208263ms
Attempt 7: 2.3815003223717213ms
Attempt 8: 2.3938999511301517ms
Attempt 9: 2.405900042504072ms
