Experiment: 20250413_225238
Density: 1
Vertexes: 20 - 400, delta: 10
Same vertex amount repeat times: 10

20 vertexes:
Attempt 1: 0.048700254410505295ms
Attempt 2: 0.04359986633062363ms
Attempt 3: 0.04280032590031624ms
Attempt 4: 0.04220008850097656ms
Attempt 5: 0.041999854147434235ms
Attempt 6: 0.04519987851381302ms
Attempt 7: 0.041999854147434235ms
Attempt 8: 0.04189973697066307ms
Attempt 9: 0.04610000178217888ms
Attempt 10: 0.041999854147434235ms
Average time: 0.04364997148513794ms
30 vertexes:
Attempt 1: 0.1034000888466835ms
Attempt 2: 0.10229973122477531ms
Attempt 3: 0.10719988495111465ms
Attempt 4: 0.10249996557831764ms
Attempt 5: 0.1026000827550888ms
Attempt 6: 0.10240031406283379ms
Attempt 7: 0.1021004281938076ms
Attempt 8: 0.11359993368387222ms
Attempt 9: 0.10220007970929146ms
Attempt 10: 0.10089995339512825ms
Average time: 0.10392004624009132ms
40 vertexes:
Attempt 1: 0.20929984748363495ms
Attempt 2: 0.20110001787543297ms
Attempt 3: 0.21170033141970634ms
Attempt 4: 0.20199967548251152ms
Attempt 5: 0.2033999189734459ms
Attempt 6: 0.21849991753697395ms
Attempt 7: 0.2000001259148121ms
Attempt 8: 0.2131001092493534ms
Attempt 9: 0.20400015637278557ms
Attempt 10: 0.21430011838674545ms
Average time: 0.20774002186954021ms
50 vertexes:
Attempt 1: 0.3518001176416874ms
Attempt 2: 0.36899978294968605ms
Attempt 3: 0.37029990926384926ms
Attempt 4: 0.3616996109485626ms
Attempt 5: 0.36239996552467346ms
Attempt 6: 0.37269992753863335ms
Attempt 7: 0.41740015149116516ms
Attempt 8: 0.37480005994439125ms
Attempt 9: 0.36030029878020287ms
Attempt 10: 0.37899985909461975ms
Average time: 0.3719399683177471ms
60 vertexes:
Attempt 1: 0.5862000398337841ms
Attempt 2: 0.582600012421608ms
Attempt 3: 0.5697999149560928ms
Attempt 4: 0.5728001706302166ms
Attempt 5: 0.5755000747740269ms
Attempt 6: 0.5782004445791245ms
Attempt 7: 0.5672001279890537ms
Attempt 8: 0.5765003152191639ms
Attempt 9: 0.5671996623277664ms
Attempt 10: 0.579299870878458ms
Average time: 0.5755300633609295ms
70 vertexes:
Attempt 1: 0.8678999729454517ms
Attempt 2: 0.8621001616120338ms
Attempt 3: 0.8632000535726547ms
