Experiment: 20250413_043145
Density: 0.8
Vertexes: 20 - 200, delta: 20
Same vertex amount repeat times: 10

20 vertexes:
Attempt 1: 0.03860006108880043ms
Attempt 2: 0.035800039768218994ms
Attempt 3: 0.034300144761800766ms
Attempt 4: 0.033800024539232254ms
Attempt 5: 0.0362996943295002ms
Attempt 6: 0.03409991040825844ms
Attempt 7: 0.033799558877944946ms
Attempt 8: 0.03310013562440872ms
Attempt 9: 0.03330036997795105ms
Attempt 10: 0.036499928683042526ms
Average time: 0.03495998680591583ms
40 vertexes:
Attempt 1: 0.16159983351826668ms
Attempt 2: 0.1713000237941742ms
Attempt 3: 0.16380008310079575ms
Attempt 4: 0.17320038750767708ms
Attempt 5: 0.1591998152434826ms
Attempt 6: 0.15670014545321465ms
Attempt 7: 0.16279984265565872ms
Attempt 8: 0.15350012108683586ms
Attempt 9: 0.15509966760873795ms
Attempt 10: 0.15119975432753563ms
Average time: 0.1608399674296379ms
60 vertexes:
Attempt 1: 0.4678000696003437ms
Attempt 2: 0.6258003413677216ms
Attempt 3: 0.4524998366832733ms
Attempt 4: 0.9391000494360924ms
Attempt 5: 0.4771002568304539ms
Attempt 6: 0.47060009092092514ms
Attempt 7: 0.4462003707885742ms
Attempt 8: 0.4483000375330448ms
Attempt 9: 0.44000009074807167ms
Attempt 10: 0.4596002399921417ms
Average time: 0.5227001383900642ms
80 vertexes:
Attempt 1: 0.9460002183914185ms
Attempt 2: 1.1175000108778477ms
Attempt 3: 0.9467997588217258ms
Attempt 4: 0.957100186496973ms
Attempt 5: 0.965300016105175ms
Attempt 6: 0.9602000936865807ms
Attempt 7: 0.9594997391104698ms
Attempt 8: 0.9427000768482685ms
Attempt 9: 1.0689999908208847ms
Attempt 10: 0.9393002837896347ms
Average time: 0.9803400374948978ms
100 vertexes:
Attempt 1: 1.7253998667001724ms
Attempt 2: 1.7301999032497406ms
Attempt 3: 1.752600073814392ms
Attempt 4: 1.7996998503804207ms
Attempt 5: 1.8583000637590885ms
Attempt 6: 1.901400275528431ms
Attempt 7: 2.090099733322859ms
Attempt 8: 1.8764003179967403ms
Attempt 9: 1.8110997043550014ms
Attempt 10: 1.7288001254200935ms
Average time: 1.827399991452694ms
120 vertexes:
Attempt 1: 2.9345001094043255ms
Attempt 2: 3.0259997583925724ms
Attempt 3: 3.149199765175581ms
Attempt 4: 2.9565999284386635ms
Attempt 5: 2.9313000850379467ms
Attempt 6: 2.930799964815378ms
Attempt 7: 3.2190997153520584ms
Attempt 8: 2.9393001459538937ms
Attempt 9: 2.8792000375688076ms
Attempt 10: 2.8744000010192394ms
Average time: 2.9840399511158466ms
140 vertexes:
Attempt 1: 4.571900237351656ms
Attempt 2: 4.5171999372541904ms
Attempt 3: 4.6477001160383224ms
Attempt 4: 4.5807999558746815ms
Attempt 5: 4.586399998515844ms
Attempt 6: 4.4396002776920795ms
Attempt 7: 4.520599730312824ms
Attempt 8: 4.496200010180473ms
Attempt 9: 4.541399888694286ms
Attempt 10: 4.375699907541275ms
Average time: 4.527750005945563ms
160 vertexes:
Attempt 1: 6.478999741375446ms
Attempt 2: 6.70409994199872ms
Attempt 3: 6.736599840223789ms
Attempt 4: 6.762600038200617ms
Attempt 5: 6.6777002066373825ms
Attempt 6: 6.75960024818778ms
Attempt 7: 6.605200003832579ms
Attempt 8: 6.4941998571157455ms
Attempt 9: 6.501200143247843ms
Attempt 10: 6.487100385129452ms
Average time: 6.620730040594935ms
180 vertexes:
Attempt 1: 9.294900111854076ms
Attempt 2: 9.109300095587969ms
Attempt 3: 9.59319993853569ms
Attempt 4: 9.26900003105402ms
Attempt 5: 9.641699958592653ms
Attempt 6: 9.260499849915504ms
Attempt 7: 9.235699661076069ms
Attempt 8: 9.343099780380726ms
Attempt 9: 9.370800107717514ms
Attempt 10: 9.451600257307291ms
Average time: 9.356979979202151ms
200 vertexes:
Attempt 1: 12.535300105810165ms
Attempt 2: 12.51110015437007ms
Attempt 3: 12.440700083971024ms
Attempt 4: 12.407300062477589ms
Attempt 5: 12.502099853008986ms
Attempt 6: 12.363099958747625ms
Attempt 7: 12.432500254362822ms
Attempt 8: 12.515999842435122ms
Attempt 9: 12.509900145232677ms
Attempt 10: 12.332700192928314ms
Average time: 12.45507006533444ms
