Experiment: 20250413_043247
Density: 0.2
Vertexes: 20 - 200, delta: 20
Same vertex amount repeat times: 10

20 vertexes:
Attempt 1: 0.031199771910905838ms
Attempt 2: 0.028300099074840546ms
Attempt 3: 0.019600149244070053ms
Attempt 4: 0.015700235962867737ms
Attempt 5: 0.020499806851148605ms
Attempt 6: 0.031400006264448166ms
Attempt 7: 0.02819998189806938ms
Attempt 8: 0.016899779438972473ms
Attempt 9: 0.001700129359960556ms
Attempt 10: 0.014599878340959549ms
Average time: 0.02080998383462429ms
40 vertexes:
Attempt 1: 0.1154998317360878ms
Attempt 2: 0.13189995661377907ms
Attempt 3: 0.14530029147863388ms
Attempt 4: 0.15479978173971176ms
Attempt 5: 0.09860005229711533ms
Attempt 6: 0.13870000839233398ms
Attempt 7: 0.06360001862049103ms
Attempt 8: 0.1659998670220375ms
Attempt 9: 0.1360001042485237ms
Attempt 10: 0.10670023038983345ms
Average time: 0.12571001425385475ms
60 vertexes:
Attempt 1: 0.4730997607111931ms
Attempt 2: 0.3531002439558506ms
Attempt 3: 0.38350000977516174ms
Attempt 4: 0.367799773812294ms
Attempt 5: 0.42189983651041985ms
Attempt 6: 0.45060040429234505ms
Attempt 7: 0.404400285333395ms
Attempt 8: 0.36819977685809135ms
Attempt 9: 0.33110007643699646ms
Attempt 10: 0.17239991575479507ms
Average time: 0.3726100083440542ms
80 vertexes:
Attempt 1: 0.8821999654173851ms
Attempt 2: 0.8430001325905323ms
Attempt 3: 0.8860998786985874ms
Attempt 4: 0.7899999618530273ms
Attempt 5: 0.8199000731110573ms
Attempt 6: 0.8852998726069927ms
Attempt 7: 0.6248001009225845ms
Attempt 8: 0.8401996456086636ms
Attempt 9: 0.8756001479923725ms
Attempt 10: 0.8740001358091831ms
Average time: 0.8321099914610386ms
100 vertexes:
Attempt 1: 1.6654999926686287ms
Attempt 2: 1.614999957382679ms
Attempt 3: 1.3623000122606754ms
Attempt 4: 2.637899946421385ms
Attempt 5: 1.9323001615703106ms
Attempt 6: 1.447599846869707ms
Attempt 7: 1.4550001360476017ms
Attempt 8: 1.8075001426041126ms
Attempt 9: 1.5833000652492046ms
Attempt 10: 1.6834000125527382ms
Average time: 1.7189800273627043ms
120 vertexes:
Attempt 1: 2.619599923491478ms
Attempt 2: 2.4027000181376934ms
Attempt 3: 2.5333999656140804ms
Attempt 4: 2.73980014026165ms
Attempt 5: 2.7613998390734196ms
Attempt 6: 2.679599914699793ms
Attempt 7: 3.0237999744713306ms
Attempt 8: 2.7332999743521214ms
Attempt 9: 2.5689001195132732ms
Attempt 10: 2.65670008957386ms
Average time: 2.67191999591887ms
140 vertexes:
Attempt 1: 3.9900001138448715ms
Attempt 2: 4.842900205403566ms
Attempt 3: 4.128099884837866ms
Attempt 4: 4.294699989259243ms
Attempt 5: 3.9633000269532204ms
Attempt 6: 4.323899745941162ms
Attempt 7: 3.8604000583291054ms
Attempt 8: 4.080399870872498ms
Attempt 9: 4.152599722146988ms
Attempt 10: 4.214700311422348ms
Average time: 4.185099992901087ms
160 vertexes:
Attempt 1: 6.30940031260252ms
Attempt 2: 6.584699731320143ms
Attempt 3: 6.291799712926149ms
Attempt 4: 5.444500129669905ms
Attempt 5: 6.210799794644117ms
Attempt 6: 5.9495000168681145ms
Attempt 7: 6.253300234675407ms
Attempt 8: 6.085400003939867ms
Attempt 9: 5.649100057780743ms
Attempt 10: 5.99820027127862ms
Average time: 6.0776700265705585ms
180 vertexes:
Attempt 1: 8.875399827957153ms
Attempt 2: 8.968300186097622ms
Attempt 3: 8.928700350224972ms
Attempt 4: 13.359699863940477ms
Attempt 5: 11.196199804544449ms
Attempt 6: 11.193300131708384ms
Attempt 7: 10.472099762409925ms
Attempt 8: 10.115099605172873ms
Attempt 9: 9.339299984276295ms
Attempt 10: 9.545300155878067ms
Average time: 10.199339967221022ms
200 vertexes:
Attempt 1: 12.11960008367896ms
Attempt 2: 12.208499945700169ms
Attempt 3: 12.124799657613039ms
Attempt 4: 11.102300137281418ms
Attempt 5: 10.996600147336721ms
Attempt 6: 12.311399914324284ms
Attempt 7: 12.019500136375427ms
Attempt 8: 10.788300074636936ms
Attempt 9: 11.05300011113286ms
Attempt 10: 10.482899844646454ms
Average time: 11.520690005272627ms
