Experiment: 20250413_214800
Density: 0.2
Vertexes: 20 - 400, delta: 20
Same vertex amount repeat times: 10

20 vertexes:
Attempt 1: 0.03510015085339546ms
Attempt 2: 0.02690032124519348ms
Attempt 3: 0.030099879950284958ms
Attempt 4: 0.008599832653999329ms
Attempt 5: 0.03220001235604286ms
Attempt 6: 0.025399960577487946ms
Attempt 7: 0.029399991035461426ms
Attempt 8: 0.02769986167550087ms
Attempt 9: 0.025199726223945618ms
Attempt 10: 0.029999762773513794ms
Average time: 0.027059949934482574ms
40 vertexes:
Attempt 1: 0.14399969950318336ms
Attempt 2: 0.14230003580451012ms
Attempt 3: 0.14270003885030746ms
Attempt 4: 0.06699981167912483ms
Attempt 5: 0.18700025975704193ms
Attempt 6: 0.1762998290359974ms
Attempt 7: 0.1596999354660511ms
Attempt 8: 0.15460001304745674ms
Attempt 9: 0.12779980897903442ms
Attempt 10: 0.16689999029040337ms
Average time: 0.14682994224131107ms
60 vertexes:
Attempt 1: 0.4854998551309109ms
Attempt 2: 0.47660013660788536ms
Attempt 3: 0.5319998599588871ms
Attempt 4: 0.5178996361792088ms
Attempt 5: 0.4317001439630985ms
Attempt 6: 0.5002999678254128ms
Attempt 7: 0.502999871969223ms
Attempt 8: 0.4436001181602478ms
Attempt 9: 0.4873001016676426ms
Attempt 10: 0.5101002752780914ms
Average time: 0.4887999966740608ms
80 vertexes:
Attempt 1: 1.040400005877018ms
Attempt 2: 0.9662001393735409ms
Attempt 3: 1.388699747622013ms
Attempt 4: 1.0536001063883305ms
Attempt 5: 1.0354002006351948ms
Attempt 6: 0.825599767267704ms
Attempt 7: 1.0581002570688725ms
Attempt 8: 0.8302000351250172ms
Attempt 9: 0.8330000564455986ms
Attempt 10: 1.0788999497890472ms
Average time: 1.0110100265592337ms
100 vertexes:
Attempt 1: 2.0015002228319645ms
Attempt 2: 2.013599965721369ms
Attempt 3: 2.0237998105585575ms
Attempt 4: 4.324899986386299ms
Attempt 5: 2.0759999752044678ms
Attempt 6: 1.819500233978033ms
Attempt 7: 2.0967996679246426ms
Attempt 8: 1.9849003292620182ms
Attempt 9: 1.8835999071598053ms
Attempt 10: 1.773499883711338ms
Average time: 2.1998099982738495ms
120 vertexes:
Attempt 1: 2.895600162446499ms
Attempt 2: 3.3403001725673676ms
Attempt 3: 2.1068998612463474ms
Attempt 4: 3.3463998697698116ms
Attempt 5: 2.7926000766456127ms
Attempt 6: 3.6510000936686993ms
Attempt 7: 3.5302997566759586ms
Attempt 8: 3.15140001475811ms
Attempt 9: 3.546600230038166ms
Attempt 10: 2.750199753791094ms
Average time: 3.1111299991607666ms
140 vertexes:
Attempt 1: 5.730099976062775ms
Attempt 2: 4.8362999223172665ms
Attempt 3: 4.954199772328138ms
Attempt 4: 5.193599965423346ms
Attempt 5: 5.350000225007534ms
Attempt 6: 5.076800007373095ms
Attempt 7: 5.274999886751175ms
Attempt 8: 5.2558002062141895ms
Attempt 9: 5.723599810153246ms
Attempt 10: 4.952299874275923ms
Average time: 5.234769964590669ms
160 vertexes:
Attempt 1: 7.778199855238199ms
Attempt 2: 7.37700005993247ms
Attempt 3: 7.940200157463551ms
Attempt 4: 7.602899800986052ms
Attempt 5: 8.043800015002489ms
Attempt 6: 7.678299676626921ms
Attempt 7: 7.310099899768829ms
Attempt 8: 7.730799727141857ms
Attempt 9: 7.8894998878240585ms
Attempt 10: 8.825100027024746ms
Average time: 7.817589910700917ms
180 vertexes:
Attempt 1: 10.581700131297112ms
Attempt 2: 10.688299778848886ms
Attempt 3: 11.381600052118301ms
Attempt 4: 11.76219992339611ms
Attempt 5: 11.081700213253498ms
Attempt 6: 11.795899830758572ms
Attempt 7: 13.030700385570526ms
Attempt 8: 10.317500215023756ms
Attempt 9: 11.444400064647198ms
Attempt 10: 10.672200005501509ms
Average time: 11.275620060041547ms
200 vertexes:
Attempt 1: 17.738199792802334ms
Attempt 2: 18.03020015358925ms
Attempt 3: 15.839700121432543ms
Attempt 4: 14.668299816548824ms
Attempt 5: 14.579600188881159ms
Attempt 6: 14.36229981482029ms
Attempt 7: 15.159999951720238ms
Attempt 8: 14.841200318187475ms
Attempt 9: 14.51990008354187ms
Attempt 10: 14.638800173997879ms
Average time: 15.437820041552186ms
220 vertexes:
Attempt 1: 22.079099901020527ms
Attempt 2: 18.909799866378307ms
Attempt 3: 19.622200168669224ms
Attempt 4: 19.895500037819147ms
Attempt 5: 20.465899724513292ms
Attempt 6: 20.4603997990489ms
Attempt 7: 19.772600382566452ms
