Experiment: 20250413_044720
Density: 1
Vertexes: 20 - 400, delta: 10
Same vertex amount repeat times: 10

20 vertexes:
Average time: 6.700359983369708ms
170 vertexes:
Attempt 1: 7.871800102293491ms
Attempt 2: 8.001300040632486ms
Attempt 3: 7.706699892878532ms
Attempt 4: 7.70279997959733ms
Attempt 5: 7.800200022757053ms
Attempt 6: 8.573099970817566ms
Attempt 7: 7.9378001391887665ms
Attempt 8: 7.809599861502647ms
Attempt 9: 7.863299921154976ms
Attempt 10: 7.815700024366379ms
Average time: 7.908229995518923ms
180 vertexes:
Attempt 1: 9.27720032632351ms
Attempt 2: 9.31350002065301ms
Attempt 3: 9.304500184953213ms
Attempt 4: 9.35409963130951ms
Attempt 5: 9.211999829858541ms
Attempt 6: 9.308999869972467ms
Attempt 7: 9.351199958473444ms
Attempt 8: 9.19019989669323ms
Attempt 9: 9.196599945425987ms
Attempt 10: 9.845799766480923ms
Average time: 9.335409943014383ms
190 vertexes:
Attempt 1: 11.670900043100119ms
Attempt 2: 10.516299866139889ms
Attempt 3: 11.731699574738741ms
Attempt 4: 11.874199844896793ms
Attempt 5: 10.978099890053272ms
Attempt 6: 11.594200041145086ms
Attempt 7: 11.62640005350113ms
Attempt 8: 11.581600178033113ms
Attempt 9: 11.705799959599972ms
Attempt 10: 11.025599669665098ms
Average time: 11.430479912087321ms
200 vertexes:
Attempt 1: 13.177199754863977ms
Attempt 2: 12.998099904507399ms
Attempt 3: 12.853600084781647ms
Attempt 4: 12.584699783474207ms
Attempt 5: 12.736199889332056ms
Attempt 6: 13.170000165700912ms
Attempt 7: 12.553599663078785ms
Attempt 8: 12.611899990588427ms
Attempt 9: 12.400000356137753ms
Attempt 10: 12.728000059723854ms
Average time: 12.781329965218902ms
210 vertexes:
Attempt 1: 14.508299995213747ms
Attempt 2: 14.426799956709146ms
Attempt 3: 14.417999889701605ms
Attempt 4: 14.474899973720312ms
Attempt 5: 14.462900348007679ms
Attempt 6: 14.302199706435204ms
Attempt 7: 14.455900061875582ms
Attempt 8: 15.001300256699324ms
Attempt 9: 14.35309974476695ms
Attempt 10: 14.219800010323524ms
Average time: 14.462319994345307ms
220 vertexes:
Attempt 1: 16.1783997900784ms
Attempt 2: 16.39019977301359ms
Attempt 3: 16.4537001401186ms
Attempt 4: 17.071399837732315ms
Attempt 5: 16.416499856859446ms
Attempt 6: 16.765699721872807ms
Attempt 7: 16.569699626415968ms
Attempt 8: 16.41840022057295ms
Attempt 9: 16.20819978415966ms
Attempt 10: 16.504600178450346ms
Average time: 16.497679892927408ms
230 vertexes:
Attempt 1: 18.50159978494048ms
Attempt 2: 18.977100029587746ms
Attempt 3: 19.28050024434924ms
Attempt 4: 19.910499919205904ms
Attempt 5: 18.87580007314682ms
Attempt 6: 20.045199897140265ms
Attempt 7: 18.81060004234314ms
Attempt 8: 19.34880018234253ms
Attempt 9: 18.68350012227893ms
Attempt 10: 18.80190009251237ms
Average time: 19.123550038784742ms
240 vertexes:
Attempt 1: 21.141700446605682ms
Attempt 2: 21.199800074100494ms
Attempt 3: 21.36850031092763ms
Attempt 4: 21.81380009278655ms
Attempt 5: 21.16139978170395ms
Attempt 6: 21.637500263750553ms
Attempt 7: 21.420199889689684ms
Attempt 8: 20.830600056797266ms
Attempt 9: 21.198300179094076ms
Attempt 10: 20.96220012754202ms
Average time: 21.27340012229979ms
250 vertexes:
Attempt 1: 23.78669986501336ms
Attempt 2: 23.72909989207983ms
Attempt 3: 23.674499709159136ms
Attempt 4: 24.28019978106022ms
Attempt 5: 24.101500399410725ms
Attempt 6: 23.74320011585951ms
Attempt 7: 23.865600116550922ms
Attempt 8: 24.0450999699533ms
Attempt 9: 23.71520036831498ms
Attempt 10: 23.87090027332306ms
Average time: 23.881200049072504ms
260 vertexes:
Attempt 1: 26.706899981945753ms
Attempt 2: 26.55029995366931ms
Attempt 3: 26.531499810516834ms
Attempt 4: 27.009400073438883ms
Attempt 5: 26.994300074875355ms
Attempt 6: 27.720799669623375ms
Attempt 7: 26.603200007230043ms
Attempt 8: 27.085999958217144ms
Attempt 9: 26.795399840921164ms
Attempt 10: 26.579500176012516ms
Average time: 26.857729954645038ms
270 vertexes:
Attempt 1: 29.69569992274046ms
Attempt 2: 30.187000054866076ms
Attempt 3: 29.80819996446371ms
Attempt 4: 29.926199931651354ms
Attempt 5: 29.748499859124422ms
Attempt 6: 29.93590012192726ms
Attempt 7: 29.930999968200922ms
Attempt 8: 30.086100101470947ms
Attempt 9: 29.75280024111271ms
Attempt 10: 29.43779993802309ms
Average time: 29.850920010358095ms
280 vertexes:
Attempt 1: 32.849499955773354ms
Attempt 2: 33.38810009881854ms
Attempt 3: 32.72819984704256ms
Attempt 4: 35.23939987644553ms
Attempt 5: 33.10939995571971ms
Attempt 6: 33.492099959403276ms
Attempt 7: 33.39690016582608ms
Attempt 8: 32.87070011720061ms
Attempt 9: 32.90480002760887ms
Attempt 10: 33.148800022900105ms
Average time: 33.312790002673864ms
290 vertexes:
Attempt 1: 36.59489983692765ms
Attempt 2: 37.15530037879944ms
Attempt 3: 36.5365999750793ms
Attempt 4: 36.76139982417226ms
Attempt 5: 36.81850014254451ms
Attempt 6: 36.86820017173886ms
Attempt 7: 37.301099859178066ms
Attempt 8: 36.525600124150515ms
Attempt 9: 36.62949986755848ms
Attempt 10: 36.64309997111559ms
Average time: 36.78342001512647ms
300 vertexes:
Attempt 1: 44.401099905371666ms
Attempt 2: 40.760299656540155ms
Attempt 3: 40.80779990181327ms
Attempt 4: 40.69520020857453ms
Attempt 5: 40.488199796527624ms
Attempt 6: 40.65760038793087ms
Attempt 7: 40.02010030671954ms
Attempt 8: 40.733200032263994ms
Attempt 9: 40.810899809002876ms
Attempt 10: 40.30560003593564ms
Average time: 40.96800000406802ms
310 vertexes:
Attempt 1: 44.92169991135597ms
Attempt 2: 44.845799915492535ms
Attempt 3: 44.72350003197789ms
Attempt 4: 44.45469984784722ms
Attempt 5: 44.99120032414794ms
Attempt 6: 44.39340019598603ms
Attempt 7: 45.75760010629892ms
Attempt 8: 45.23169994354248ms
Attempt 9: 45.95840023830533ms
Attempt 10: 44.9859001673758ms
Average time: 45.02639006823301ms
320 vertexes:
Attempt 1: 51.080700010061264ms
Attempt 2: 49.95789984241128ms
Attempt 3: 48.83600026369095ms
Attempt 4: 49.129500053822994ms
Attempt 5: 49.72169967368245ms
Attempt 6: 49.21999992802739ms
Attempt 7: 49.077299889177084ms
Attempt 8: 48.785500228405ms
Attempt 9: 49.21650001779199ms
Attempt 10: 49.11530017852783ms
Average time: 49.41404000855982ms
330 vertexes:
Attempt 1: 53.95419988781214ms
Attempt 2: 54.72119990736246ms
Attempt 3: 53.22410026565194ms
Attempt 4: 54.0268998593092ms
Attempt 5: 53.332800045609474ms
Attempt 6: 54.493299685418606ms
Attempt 7: 53.88670042157173ms
Attempt 8: 53.30249993130565ms
Attempt 9: 53.80460014566779ms
Attempt 10: 54.30389987304807ms
Average time: 53.905020002275705ms
340 vertexes:
Attempt 1: 58.699899818748236ms
Attempt 2: 59.67190023511648ms
Attempt 3: 59.406000189483166ms
Attempt 4: 59.32090012356639ms
Attempt 5: 59.489600360393524ms
Attempt 6: 60.08669966831803ms
Attempt 7: 60.153200291097164ms
Attempt 8: 60.724399983882904ms
Attempt 9: 59.32529969140887ms
Attempt 10: 58.60790004953742ms
Average time: 59.54858004115522ms
350 vertexes:
Attempt 1: 63.77619970589876ms
Attempt 2: 63.49639967083931ms
Attempt 3: 64.61729994043708ms
Attempt 4: 65.16509968787432ms
Attempt 5: 63.44619998708367ms
Attempt 6: 72.63389974832535ms
Attempt 7: 63.33100004121661ms
Attempt 8: 63.55499988421798ms
Attempt 9: 65.06150029599667ms
Attempt 10: 65.19909994676709ms
Average time: 65.02816989086568ms
360 vertexes:
Attempt 1: 69.36860037967563ms
Attempt 2: 70.15990000218153ms
Attempt 3: 70.19030023366213ms
Attempt 4: 69.44420002400875ms
Attempt 5: 68.93359962850809ms
Attempt 6: 70.27839962393045ms
Attempt 7: 69.4560999982059ms
Attempt 8: 69.42819990217686ms
Attempt 9: 70.25180011987686ms
Attempt 10: 69.66450018808246ms
Average time: 69.71756001003087ms
370 vertexes:
Attempt 1: 75.59699984267354ms
Attempt 2: 75.73649985715747ms
Attempt 3: 75.46810014173388ms
Attempt 4: 75.14469977468252ms
Attempt 5: 75.47669997438788ms
Attempt 6: 75.67930035293102ms
Attempt 7: 77.62410026043653ms
Attempt 8: 76.5100996941328ms
Attempt 9: 77.73169968277216ms
Attempt 10: 76.35750016197562ms
Average time: 76.13256997428834ms
380 vertexes:
Attempt 1: 81.81260013952851ms
Attempt 2: 81.58610016107559ms
Attempt 3: 82.46110007166862ms
Attempt 4: 81.63389982655644ms
Attempt 5: 82.23449997603893ms
Attempt 6: 81.39359997585416ms
Attempt 7: 81.43110014498234ms
Attempt 8: 82.86619978025556ms
Attempt 9: 81.32770005613565ms
Attempt 10: 81.275699660182ms
Average time: 81.80224997922778ms
390 vertexes:
Attempt 1: 88.38450023904443ms
Attempt 2: 88.1459997035563ms
Attempt 3: 89.13950016722083ms
Attempt 4: 92.37950015813112ms
Attempt 5: 88.34529994055629ms
Attempt 6: 87.0508998632431ms
Attempt 7: 88.29869981855154ms
Attempt 8: 87.82709995284677ms
Attempt 9: 88.0028996616602ms
Attempt 10: 88.7360000051558ms
Average time: 88.63103995099664ms
400 vertexes:
Attempt 1: 94.69339996576309ms
Attempt 2: 95.58930015191436ms
Attempt 3: 95.05419991910458ms
Attempt 4: 96.2505997158587ms
Attempt 5: 95.19900009036064ms
Attempt 6: 94.87490030005574ms
Attempt 7: 94.73229991272092ms
Attempt 8: 94.73960008472204ms
Attempt 9: 96.64080012589693ms
Attempt 10: 95.23470001295209ms
Average time: 95.30088002793491ms
