Experiment: 20250413_043222
Density: 0.4
Vertexes: 20 - 200, delta: 20
Same vertex amount repeat times: 10

20 vertexes:
Attempt 1: 0.02989964559674263ms
Attempt 2: 0.03300001844763756ms
Attempt 3: 0.03590015694499016ms
Attempt 4: 0.030499882996082306ms
Attempt 5: 0.031800009310245514ms
Attempt 6: 0.03310013562440872ms
Attempt 7: 0.033599790185689926ms
Attempt 8: 0.031299889087677ms
Attempt 9: 0.031299889087677ms
Attempt 10: 0.032499898225069046ms
Average time: 0.032289931550621986ms
40 vertexes:
Attempt 1: 0.15950016677379608ms
Attempt 2: 0.14849985018372536ms
Attempt 3: 0.161800067871809ms
Attempt 4: 0.14880020171403885ms
Attempt 5: 0.14410028234124184ms
Attempt 6: 0.14640018343925476ms
Attempt 7: 0.14250027015805244ms
Attempt 8: 0.15159975737333298ms
Attempt 9: 0.1317998394370079ms
Attempt 10: 0.15230011194944382ms
Average time: 0.1487300731241703ms
60 vertexes:
Attempt 1: 0.40110014379024506ms
Attempt 2: 0.44560013338923454ms
Attempt 3: 0.39790011942386627ms
Attempt 4: 0.4382999613881111ms
Attempt 5: 0.5216998979449272ms
Attempt 6: 0.45030005276203156ms
Attempt 7: 0.8331001736223698ms
Attempt 8: 0.8214996196329594ms
Attempt 9: 0.4099002107977867ms
Attempt 10: 0.4290998913347721ms
Average time: 0.5148500204086304ms
80 vertexes:
Attempt 1: 1.0297000408172607ms
Attempt 2: 1.0192999616265297ms
Attempt 3: 0.897000078111887ms
Attempt 4: 1.0229996405541897ms
Attempt 5: 0.9663999080657959ms
Attempt 6: 1.1112000793218613ms
Attempt 7: 0.9140004403889179ms
Attempt 8: 0.9372998028993607ms
Attempt 9: 0.9241001680493355ms
Attempt 10: 0.947900116443634ms
Average time: 0.9769900236278772ms
100 vertexes:
Attempt 1: 1.6466001980006695ms
Attempt 2: 1.7264997586607933ms
Attempt 3: 1.721000298857689ms
Attempt 4: 1.7947000451385975ms
Attempt 5: 1.6915001906454563ms
Attempt 6: 1.6791997477412224ms
Attempt 7: 2.4106004275381565ms
Attempt 8: 1.77800003439188ms
Attempt 9: 1.8540001474320889ms
Attempt 10: 1.8596001900732517ms
Average time: 1.8161701038479805ms
120 vertexes:
Attempt 1: 2.929199952632189ms
Attempt 2: 3.1694998033344746ms
Attempt 3: 2.8908997774124146ms
Attempt 4: 2.983200363814831ms
Attempt 5: 2.751199994236231ms
Attempt 6: 2.858199644833803ms
Attempt 7: 2.765200100839138ms
Attempt 8: 2.8490996919572353ms
Attempt 9: 2.9636998660862446ms
Attempt 10: 2.9588001780211926ms
Average time: 2.9118999373167753ms
140 vertexes:
Attempt 1: 4.540599882602692ms
Attempt 2: 4.530199803411961ms
Attempt 3: 4.456500057131052ms
Attempt 4: 4.523899871855974ms
Attempt 5: 4.601499997079372ms
Attempt 6: 4.929699935019016ms
Attempt 7: 4.973600152879953ms
Attempt 8: 4.805100150406361ms
Attempt 9: 4.618499893695116ms
Attempt 10: 4.218699876219034ms
Average time: 4.619829962030053ms
160 vertexes:
Attempt 1: 6.695900112390518ms
Attempt 2: 6.724900100380182ms
Attempt 3: 6.381500046700239ms
Attempt 4: 6.666500121355057ms
Attempt 5: 6.673099938780069ms
Attempt 6: 6.680599879473448ms
Attempt 7: 6.547300145030022ms
Attempt 8: 6.557799875736237ms
Attempt 9: 6.533399689942598ms
Attempt 10: 6.520399823784828ms
Average time: 6.59813997335732ms
180 vertexes:
Attempt 1: 9.307899978011847ms
Attempt 2: 9.377600159496069ms
Attempt 3: 8.674699813127518ms
Attempt 4: 9.114000014960766ms
Attempt 5: 9.422700386494398ms
Attempt 6: 9.05130011960864ms
Attempt 7: 9.327899664640427ms
Attempt 8: 9.531599935144186ms
Attempt 9: 8.979699574410915ms
Attempt 10: 8.839000016450882ms
Average time: 9.162639966234565ms
200 vertexes:
Attempt 1: 12.543200049549341ms
Attempt 2: 12.868699617683887ms
Attempt 3: 12.420499697327614ms
Attempt 4: 12.272499967366457ms
Attempt 5: 12.8904995508492ms
Attempt 6: 12.207100167870522ms
Attempt 7: 12.559900060296059ms
Attempt 8: 12.461499776691198ms
Attempt 9: 12.016599997878075ms
Attempt 10: 12.728500179946423ms
Average time: 12.496899906545877ms
