Experiment: 20250413_050313
Density: 0.6
Vertexes: 20 - 400, delta: 10
Same vertex amount repeat times: 10

20 vertexes:
Attempt 1: 0.03519980236887932ms
Attempt 2: 0.04279986023902893ms
Attempt 3: 0.03330036997795105ms
Attempt 4: 0.03300001844763756ms
Attempt 5: 0.03490038216114044ms
Attempt 6: 0.04020007327198982ms
Attempt 7: 0.035600271075963974ms
Attempt 8: 0.03639981150627136ms
Attempt 9: 0.034300144761800766ms
Attempt 10: 0.036499928683042526ms
Average time: 0.036220066249370575ms
30 vertexes:
Attempt 1: 0.07670000195503235ms
Attempt 2: 0.08160015568137169ms
Attempt 3: 0.0821002759039402ms
Attempt 4: 0.0820998102426529ms
Attempt 5: 0.0812998041510582ms
Attempt 6: 0.0800001434981823ms
Attempt 7: 0.08310005068778992ms
Attempt 8: 0.08539995178580284ms
Attempt 9: 0.08560018613934517ms
Attempt 10: 0.08519971743226051ms
Average time: 0.0823100097477436ms
40 vertexes:
Attempt 1: 0.166300218552351ms
Attempt 2: 0.30850013718008995ms
Attempt 3: 0.16300007700920105ms
Attempt 4: 0.157100148499012ms
Attempt 5: 0.1547001302242279ms
Attempt 6: 0.15009986236691475ms
Attempt 7: 0.13720011338591576ms
Attempt 8: 0.15329988673329353ms
Attempt 9: 0.15350012108683586ms
Attempt 10: 0.17079990357160568ms
Average time: 0.17145005986094475ms
50 vertexes:
Attempt 1: 0.2756998874247074ms
Attempt 2: 0.27849990874528885ms
Attempt 3: 0.26590004563331604ms
Attempt 4: 0.26560015976428986ms
Attempt 5: 0.2804999239742756ms
Attempt 6: 0.2759997732937336ms
Attempt 7: 0.282099936157465ms
Attempt 8: 0.2720002084970474ms
Attempt 9: 0.27830014005303383ms
Attempt 10: 0.2743997611105442ms
Average time: 0.2748999744653702ms
60 vertexes:
Attempt 1: 0.4420001059770584ms
Attempt 2: 0.45900000259280205ms
Attempt 3: 0.4401998594403267ms
Attempt 4: 0.43640006333589554ms
Attempt 5: 0.43219979852437973ms
Attempt 6: 0.4370003007352352ms
Attempt 7: 0.4432997666299343ms
Attempt 8: 0.440200325101614ms
Attempt 9: 0.4296000115573406ms
Attempt 10: 0.6509004160761833ms
Average time: 0.461080064997077ms
70 vertexes:
Attempt 1: 0.6683003157377243ms
Attempt 2: 0.6496002897620201ms
Attempt 3: 0.6419997662305832ms
Attempt 4: 0.6933999247848988ms
Attempt 5: 0.7597999647259712ms
Attempt 6: 0.6985999643802643ms
Attempt 7: 0.6984001956880093ms
Attempt 8: 0.6850999779999256ms
Attempt 9: 0.7212003692984581ms
Attempt 10: 0.6864997558295727ms
Average time: 0.6902900524437428ms
80 vertexes:
Attempt 1: 0.9826002642512321ms
Attempt 2: 0.9753000922501087ms
Attempt 3: 0.9289002045989037ms
Attempt 4: 0.9588999673724174ms
Attempt 5: 0.9586997330188751ms
Attempt 6: 1.1211996898055077ms
Attempt 7: 0.9509003721177578ms
Attempt 8: 0.964100006967783ms
Attempt 9: 0.9447000920772552ms
Attempt 10: 0.9661000221967697ms
Average time: 0.975140044465661ms
90 vertexes:
Attempt 1: 1.3322997838258743ms
Attempt 2: 1.2914999388158321ms
Attempt 3: 1.2940997257828712ms
Attempt 4: 1.316600013524294ms
Attempt 5: 1.2862998992204666ms
Attempt 6: 1.295899972319603ms
Attempt 7: 1.283199992030859ms
Attempt 8: 1.5007001347839832ms
Attempt 9: 1.314499881118536ms
Attempt 10: 1.297099981456995ms
Average time: 1.3212199322879314ms
100 vertexes:
Attempt 1: 1.7358995974063873ms
Attempt 2: 1.7362004145979881ms
Attempt 3: 2.0094001665711403ms
Attempt 4: 1.8201000057160854ms
Attempt 5: 1.7124000005424023ms
Attempt 6: 1.7742998898029327ms
Attempt 7: 1.7915000207722187ms
Attempt 8: 1.719299703836441ms
Attempt 9: 1.9147000275552273ms
Attempt 10: 1.7531001940369606ms
Average time: 1.7966900020837784ms
110 vertexes:
Attempt 1: 2.4430998601019382ms
Attempt 2: 2.2440003231167793ms
Attempt 3: 2.262100111693144ms
Attempt 4: 2.2964999079704285ms
Attempt 5: 2.264800015836954ms
Attempt 6: 2.284199930727482ms
Attempt 7: 2.3118997924029827ms
Attempt 8: 2.4783997796475887ms
Attempt 9: 2.3563001304864883ms
Attempt 10: 2.2995001636445522ms
Average time: 2.324080001562834ms
120 vertexes:
Attempt 1: 2.951200120151043ms
Attempt 2: 2.930799964815378ms
Attempt 3: 2.909899689257145ms
Attempt 4: 3.216299694031477ms
Attempt 5: 3.1152996234595776ms
Attempt 6: 3.056399989873171ms
Attempt 7: 2.9485998675227165ms
Attempt 8: 3.14539996907115ms
Attempt 9: 2.953799907118082ms
Attempt 10: 2.9637999832630157ms
Average time: 3.0191498808562756ms
130 vertexes:
Attempt 1: 3.7476997822523117ms
Attempt 2: 3.7924000062048435ms
Attempt 3: 4.110699985176325ms
Attempt 4: 4.063100088387728ms
Attempt 5: 4.039300139993429ms
Attempt 6: 4.10819984972477ms
Attempt 7: 3.9703999646008015ms
Attempt 8: 4.015499725937843ms
Attempt 9: 3.903800155967474ms
Attempt 10: 3.9948001503944397ms
Average time: 3.9745899848639965ms
140 vertexes:
Attempt 1: 4.859799984842539ms
Attempt 2: 4.9217999912798405ms
Attempt 3: 4.93540009483695ms
Attempt 4: 4.909600131213665ms
Attempt 5: 4.8500001430511475ms
Attempt 6: 4.960500169545412ms
Attempt 7: 4.934999626129866ms
Attempt 8: 4.850800149142742ms
Attempt 9: 5.040900316089392ms
Attempt 10: 4.962699953466654ms
Average time: 4.922650055959821ms
150 vertexes:
Attempt 1: 5.871099885553122ms
Attempt 2: 5.968799814581871ms
Attempt 3: 6.043899804353714ms
Attempt 4: 5.9182001277804375ms
Attempt 5: 5.537899676710367ms
Attempt 6: 5.5554998107254505ms
Attempt 7: 5.600400269031525ms
Attempt 8: 5.588400177657604ms
Attempt 9: 5.432599689811468ms
Attempt 10: 5.561900325119495ms
Average time: 5.707869958132505ms
160 vertexes:
Attempt 1: 6.708600092679262ms
Attempt 2: 6.678199861198664ms
Attempt 3: 6.86099985614419ms
Attempt 4: 7.063500117510557ms
Attempt 5: 6.585599854588509ms
Attempt 6: 6.742499768733978ms
Attempt 7: 6.5518999472260475ms
Attempt 8: 6.565000396221876ms
