Experiment: 20250413_043301
Density: 0.2
Vertexes: 20 - 200, delta: 20
Same vertex amount repeat times: 10

20 vertexes:
Attempt 1: 0.023799948394298553ms
Attempt 2: 0.016700010746717453ms
Attempt 3: 0.007000286132097244ms
Attempt 4: 0.0258004292845726ms
Attempt 5: 0.025200191885232925ms
Attempt 6: 0.018100254237651825ms
Attempt 7: 0.022600404918193817ms
Attempt 8: 0.02529984340071678ms
Attempt 9: 0.004500150680541992ms
Attempt 10: 0.02530030906200409ms
Average time: 0.01943018287420273ms
40 vertexes:
Attempt 1: 0.12720003724098206ms
Attempt 2: 0.1162998378276825ms
Attempt 3: 0.06859982386231422ms
Attempt 4: 0.08080014958977699ms
Attempt 5: 0.1370999962091446ms
Attempt 6: 0.14929985627532005ms
Attempt 7: 0.14990009367465973ms
Attempt 8: 0.11319993063807487ms
Attempt 9: 0.1380997709929943ms
Attempt 10: 0.14520017430186272ms
Average time: 0.1225699670612812ms
60 vertexes:
Attempt 1: 0.3504999913275242ms
Attempt 2: 0.39479974657297134ms
Attempt 3: 0.4064999520778656ms
Attempt 4: 0.300699844956398ms
Attempt 5: 0.29460014775395393ms
Attempt 6: 0.3193998709321022ms
Attempt 7: 0.4012999124825001ms
Attempt 8: 0.33350009471178055ms
Attempt 9: 0.4159999080002308ms
Attempt 10: 0.39059994742274284ms
Average time: 0.36078994162380695ms
80 vertexes:
Attempt 1: 0.9299004450440407ms
Attempt 2: 0.9258999489247799ms
Attempt 3: 0.88530033826828ms
Attempt 4: 0.854200217872858ms
Attempt 5: 0.8976003155112267ms
Attempt 6: 0.8636000566184521ms
Attempt 7: 0.7943999953567982ms
Attempt 8: 0.8201999589800835ms
Attempt 9: 0.7679997943341732ms
Attempt 10: 0.6178999319672585ms
Average time: 0.8357001002877951ms
100 vertexes:
Attempt 1: 1.756099984049797ms
Attempt 2: 1.6661998815834522ms
Attempt 3: 0.7521999068558216ms
Attempt 4: 1.5799999237060547ms
Attempt 5: 1.434599980711937ms
Attempt 6: 1.6637998633086681ms
Attempt 7: 1.586299855262041ms
Attempt 8: 1.3406998477876186ms
Attempt 9: 1.6304999589920044ms
Attempt 10: 1.6928999684751034ms
Average time: 1.5103299170732498ms
120 vertexes:
Attempt 1: 2.6281997561454773ms
Attempt 2: 2.8162002563476562ms
Attempt 3: 2.675100229680538ms
Attempt 4: 2.5877999141812325ms
Attempt 5: 2.4445001035928726ms
Attempt 6: 2.3937998339533806ms
Attempt 7: 2.909600269049406ms
Attempt 8: 2.770999912172556ms
Attempt 9: 2.621999941766262ms
Attempt 10: 2.8319000266492367ms
Average time: 2.668010024353862ms
140 vertexes:
Attempt 1: 3.7635997869074345ms
Attempt 2: 4.189999774098396ms
Attempt 3: 4.27180016413331ms
Attempt 4: 3.9417999796569347ms
Attempt 5: 4.249799996614456ms
Attempt 6: 4.487300291657448ms
Attempt 7: 3.8431002758443356ms
Attempt 8: 4.12779999896884ms
Attempt 9: 3.5298001021146774ms
Attempt 10: 4.94360039010644ms
Average time: 4.134860076010227ms
160 vertexes:
Attempt 1: 6.162100005894899ms
Attempt 2: 5.8606998063623905ms
Attempt 3: 6.364800035953522ms
Attempt 4: 6.353399716317654ms
Attempt 5: 5.843200255185366ms
Attempt 6: 6.457500159740448ms
Attempt 7: 6.257199682295322ms
Attempt 8: 6.193799898028374ms
Attempt 9: 5.83100039511919ms
Attempt 10: 5.922500044107437ms
Average time: 6.12461999990046ms
180 vertexes:
Attempt 1: 8.605800103396177ms
Attempt 2: 9.035900235176086ms
Attempt 3: 8.967200294137001ms
Attempt 4: 8.627000264823437ms
Attempt 5: 9.193399921059608ms
Attempt 6: 9.150899946689606ms
Attempt 7: 8.93219979479909ms
Attempt 8: 7.9331002198159695ms
Attempt 9: 8.000500034540892ms
Attempt 10: 8.358200080692768ms
Average time: 8.680420089513063ms
200 vertexes:
Attempt 1: 11.839599814265966ms
Attempt 2: 12.317199725657701ms
Attempt 3: 11.967099737375975ms
Attempt 4: 11.444500181823969ms
Attempt 5: 11.601800099015236ms
Attempt 6: 11.85989985242486ms
Attempt 7: 11.853900272399187ms
Attempt 8: 12.154900003224611ms
Attempt 9: 12.16040039435029ms
Attempt 10: 11.840600054711103ms
Average time: 11.90399001352489ms
