Experiment: 20250413_043329
Density: 0.1
Vertexes: 20 - 200, delta: 20
Same vertex amount repeat times: 10

20 vertexes:
Attempt 1: 0.02059992402791977ms
Attempt 2: 0.005499925464391708ms
Attempt 3: 0.014599878340959549ms
Attempt 4: 0.004599802196025848ms
Attempt 5: 0.004400033503770828ms
Attempt 6: 0.0058002769947052ms
Attempt 7: 0.010499730706214905ms
Attempt 8: 0.007600057870149612ms
Attempt 9: 0.0041997991502285ms
Attempt 10: 0.007200054824352264ms
Average time: 0.008499948307871819ms
40 vertexes:
Attempt 1: 0.07830001413822174ms
Attempt 2: 0.021200161427259445ms
Attempt 3: 0.09460002183914185ms
Attempt 4: 0.029199756681919098ms
Attempt 5: 0.06099976599216461ms
Attempt 6: 0.03829970955848694ms
Attempt 7: 0.017900019884109497ms
Attempt 8: 0.034899916499853134ms
Attempt 9: 0.017399899661540985ms
Attempt 10: 0.060599762946367264ms
Average time: 0.045339902862906456ms
60 vertexes:
Attempt 1: 0.11269981041550636ms
Attempt 2: 0.2560000866651535ms
Attempt 3: 0.06570015102624893ms
Attempt 4: 0.18269987776875496ms
Attempt 5: 0.29190024361014366ms
Attempt 6: 0.25240005925297737ms
Attempt 7: 0.20869961008429527ms
Attempt 8: 0.11320039629936218ms
Attempt 9: 0.29009999707341194ms
Attempt 10: 0.20490027964115143ms
Average time: 0.19783005118370056ms
80 vertexes:
Attempt 1: 0.5232999101281166ms
Attempt 2: 0.5863001570105553ms
Attempt 3: 0.5936999805271626ms
Attempt 4: 0.44800015166401863ms
Attempt 5: 0.4826001822948456ms
Attempt 6: 0.5272999405860901ms
Attempt 7: 0.4101996310055256ms
Attempt 8: 0.4962002858519554ms
Attempt 9: 0.685499981045723ms
Attempt 10: 0.6709997542202473ms
Average time: 0.542409997433424ms
100 vertexes:
Attempt 1: 1.1223000474274158ms
Attempt 2: 0.7543000392615795ms
Attempt 3: 1.433399971574545ms
Attempt 4: 0.4378003068268299ms
Attempt 5: 1.2089996598660946ms
Attempt 6: 0.2962998114526272ms
Attempt 7: 0.9288997389376163ms
Attempt 8: 1.1713998392224312ms
Attempt 9: 1.0182000696659088ms
Attempt 10: 0.8749999105930328ms
Average time: 0.9246599394828081ms
120 vertexes:
Attempt 1: 2.369900234043598ms
Attempt 2: 1.5214001759886742ms
Attempt 3: 2.183699980378151ms
Attempt 4: 2.3183003067970276ms
Attempt 5: 2.601000014692545ms
Attempt 6: 1.7513004131615162ms
Attempt 7: 2.3277997970581055ms
Attempt 8: 2.139800228178501ms
Attempt 9: 2.1310998126864433ms
Attempt 10: 2.2523999214172363ms
Average time: 2.15967008844018ms
140 vertexes:
Attempt 1: 2.8858999721705914ms
Attempt 2: 3.6362996324896812ms
Attempt 3: 2.914399839937687ms
Attempt 4: 3.583500161767006ms
Attempt 5: 3.654100000858307ms
Attempt 6: 3.4584002569317818ms
Attempt 7: 3.6329999566078186ms
Attempt 8: 3.908799961209297ms
Attempt 9: 3.702800255268812ms
Attempt 10: 3.3231000415980816ms
Average time: 3.4700300078839064ms
160 vertexes:
Attempt 1: 5.980700254440308ms
Attempt 2: 5.744899623095989ms
Attempt 3: 4.981499630957842ms
Attempt 4: 3.1091002747416496ms
Attempt 5: 5.5634998716413975ms
Attempt 6: 5.888699553906918ms
Attempt 7: 4.75289998576045ms
Attempt 8: 5.148799624294043ms
Attempt 9: 4.562299698591232ms
Attempt 10: 4.55569988116622ms
Average time: 5.028809839859605ms
180 vertexes:
Attempt 1: 8.144499734044075ms
Attempt 2: 7.554099895060062ms
Attempt 3: 7.419100031256676ms
Attempt 4: 7.934600114822388ms
Attempt 5: 8.143499959260225ms
Attempt 6: 6.894600111991167ms
Attempt 7: 6.40220008790493ms
Attempt 8: 7.952899672091007ms
Attempt 9: 5.837699864059687ms
Attempt 10: 8.233699947595596ms
Average time: 7.451689941808581ms
200 vertexes:
Attempt 1: 11.210099793970585ms
Attempt 2: 8.297199849039316ms
Attempt 3: 9.909600019454956ms
Attempt 4: 9.821699932217598ms
Attempt 5: 8.938400074839592ms
Attempt 6: 10.2959000505507ms
Attempt 7: 12.19659997150302ms
Attempt 8: 11.388199869543314ms
Attempt 9: 9.680999908596277ms
Attempt 10: 10.148500092327595ms
Average time: 10.188719956204295ms
