Experiment: 20250413_044138
Density: 0.6
Vertexes: 20 - 400, delta: 10
Same vertex amount repeat times: 10

20 vertexes:
Attempt 1: 0.042700208723545074ms
Attempt 2: 0.03640027716755867ms
Attempt 3: 0.0420999713242054ms
Attempt 4: 0.040899962186813354ms
Attempt 5: 0.036699697375297546ms
Attempt 6: 0.036300159990787506ms
Attempt 7: 0.0362996943295002ms
Attempt 8: 0.0362996943295002ms
Attempt 9: 0.034499913454055786ms
Attempt 10: 0.03640027716755867ms
Average time: 0.03785998560488224ms
30 vertexes:
Attempt 1: 0.08970033377408981ms
Attempt 2: 0.09180000051856041ms
Attempt 3: 0.08960021659731865ms
Attempt 4: 0.07660035043954849ms
Attempt 5: 0.08739996701478958ms
Attempt 6: 0.08559972047805786ms
Attempt 7: 0.08659996092319489ms
Attempt 8: 0.08289981633424759ms
Attempt 9: 0.08619995787739754ms
Attempt 10: 0.08799973875284195ms
Average time: 0.08644000627100468ms
40 vertexes:
Attempt 1: 0.16649998724460602ms
Attempt 2: 0.15849992632865906ms
Attempt 3: 0.16860011965036392ms
Attempt 4: 0.14350004494190216ms
Attempt 5: 0.15349965542554855ms
Attempt 6: 0.15799980610609055ms
Attempt 7: 0.14950009062886238ms
Attempt 8: 0.14810031279921532ms
Attempt 9: 0.16219960525631905ms
Attempt 10: 0.1626000739634037ms
Average time: 0.15709996223449707ms
50 vertexes:
Attempt 1: 0.2791997976601124ms
Attempt 2: 0.278400257229805ms
Attempt 3: 0.3471001982688904ms
Attempt 4: 0.2826000563800335ms
Attempt 5: 0.24690013378858566ms
Attempt 6: 0.3659999929368496ms
Attempt 7: 0.3561996854841709ms
Attempt 8: 0.3526001237332821ms
Attempt 9: 0.2862000837922096ms
Attempt 10: 0.29479991644620895ms
Average time: 0.3090000245720148ms
60 vertexes:
Attempt 1: 0.4785996861755848ms
Attempt 2: 0.4779999144375324ms
Attempt 3: 0.4412000998854637ms
Attempt 4: 0.46639982610940933ms
Attempt 5: 0.492599792778492ms
Attempt 6: 0.43980032205581665ms
Attempt 7: 0.4366999492049217ms
Attempt 8: 0.4535997286438942ms
Attempt 9: 0.4638996906578541ms
Attempt 10: 0.44430000707507133ms
Average time: 0.459509901702404ms
70 vertexes:
Attempt 1: 0.6465003825724125ms
Attempt 2: 0.6440998986363411ms
Attempt 3: 0.6929999217391014ms
Attempt 4: 0.6563998758792877ms
Attempt 5: 0.6403001025319099ms
Attempt 6: 0.6529996171593666ms
Attempt 7: 0.776700209826231ms
Attempt 8: 0.6929002702236176ms
Attempt 9: 0.6603002548217773ms
Attempt 10: 0.6948001682758331ms
Average time: 0.6758000701665878ms
80 vertexes:
Attempt 1: 0.9519001469016075ms
Attempt 2: 0.9608999826014042ms
Attempt 3: 0.950200017541647ms
Attempt 4: 1.0573999024927616ms
Attempt 5: 0.9292000904679298ms
Attempt 6: 0.9483001194894314ms
Attempt 7: 0.9465999901294708ms
Attempt 8: 0.9170002304017544ms
Attempt 9: 0.9535001590847969ms
Attempt 10: 0.9454996325075626ms
Average time: 0.9560500271618366ms
90 vertexes:
Attempt 1: 1.337799709290266ms
Attempt 2: 1.2980001047253609ms
Attempt 3: 1.3242000713944435ms
Attempt 4: 1.309999730437994ms
Attempt 5: 1.3191001489758492ms
Attempt 6: 1.2765000574290752ms
Attempt 7: 1.3034995645284653ms
Attempt 8: 1.338699832558632ms
Attempt 9: 1.5020999126136303ms
Attempt 10: 1.2976997531950474ms
Average time: 1.3307598885148764ms
100 vertexes:
Attempt 1: 1.7580003477633ms
Attempt 2: 1.7491001635789871ms
Attempt 3: 1.7589996568858624ms
Attempt 4: 1.778099685907364ms
Attempt 5: 1.742000225931406ms
Attempt 6: 1.8540997989475727ms
Attempt 7: 1.7958004027605057ms
Attempt 8: 1.7417999915778637ms
Attempt 9: 1.7981003038585186ms
Attempt 10: 1.9469000399112701ms
Average time: 1.792290061712265ms
110 vertexes:
Attempt 1: 2.271499950438738ms
Attempt 2: 2.313100267201662ms
Attempt 3: 2.3130998015403748ms
Attempt 4: 2.3240000009536743ms
Attempt 5: 2.2815000265836716ms
Attempt 6: 2.3354999721050262ms
Attempt 7: 2.4040001444518566ms
Attempt 8: 2.3993998765945435ms
Attempt 9: 2.332900185137987ms
Attempt 10: 2.343100029975176ms
Average time: 2.331810025498271ms
120 vertexes:
Attempt 1: 2.918899990618229ms
Attempt 2: 3.0713998712599277ms
Attempt 3: 3.339099697768688ms
Attempt 4: 3.185099922120571ms
Attempt 5: 3.1921998597681522ms
Attempt 6: 3.131600096821785ms
Attempt 7: 3.1913998536765575ms
Attempt 8: 3.160600084811449ms
Attempt 9: 3.179299645125866ms
Attempt 10: 3.137600142508745ms
Average time: 3.150719916447997ms
130 vertexes:
Attempt 1: 3.9864000864326954ms
Attempt 2: 4.592299927026033ms
Attempt 3: 3.98720009252429ms
Attempt 4: 4.033899866044521ms
Attempt 5: 4.0513998828828335ms
Attempt 6: 4.047099966555834ms
Attempt 7: 3.97420022636652ms
Attempt 8: 3.9238999597728252ms
Attempt 9: 3.9981002919375896ms
Attempt 10: 3.9772000163793564ms
Average time: 4.05717003159225ms
140 vertexes:
Attempt 1: 4.912199918180704ms
Attempt 2: 4.718999844044447ms
Attempt 3: 4.770600236952305ms
Attempt 4: 4.7021000646054745ms
Attempt 5: 4.6637998893857ms
Attempt 6: 4.7205002047121525ms
Attempt 7: 4.562600050121546ms
Attempt 8: 4.608900286257267ms
Attempt 9: 4.578100051730871ms
Attempt 10: 4.7297002747654915ms
Average time: 4.696750082075596ms
150 vertexes:
Attempt 1: 5.557900294661522ms
Attempt 2: 5.42679987847805ms
Attempt 3: 5.4732998833060265ms
Attempt 4: 5.639199633151293ms
Attempt 5: 5.6175002828240395ms
Attempt 6: 5.72929996997118ms
Attempt 7: 5.468099843710661ms
Attempt 8: 5.63050014898181ms
Attempt 9: 5.717900115996599ms
Attempt 10: 5.530900321900845ms
Average time: 5.5791400372982025ms
160 vertexes:
Attempt 1: 6.614200305193663ms
Attempt 2: 6.879299879074097ms
Attempt 3: 6.603400222957134ms
Attempt 4: 6.757700350135565ms
Attempt 5: 6.888199597597122ms
Attempt 6: 7.143000140786171ms
Attempt 7: 7.314600050449371ms
Attempt 8: 8.07480001822114ms
Attempt 9: 7.21239997074008ms
Attempt 10: 7.343399804085493ms
Average time: 7.083100033923984ms
170 vertexes:
Attempt 1: 8.561300113797188ms
Attempt 2: 8.700999896973372ms
Attempt 3: 8.579000364989042ms
Attempt 4: 8.626900147646666ms
Attempt 5: 8.672700263559818ms
Attempt 6: 8.509099949151278ms
Attempt 7: 8.165000006556511ms
Attempt 8: 8.473999798297882ms
Attempt 9: 8.319199550896883ms
Attempt 10: 8.500200230628252ms
Average time: 8.510840032249689ms
180 vertexes:
Attempt 1: 10.061400011181831ms
Attempt 2: 10.116899851709604ms
Attempt 3: 10.012599639594555ms
Attempt 4: 9.892500005662441ms
Attempt 5: 10.508399922400713ms
Attempt 6: 10.58480003848672ms
Attempt 7: 10.154800023883581ms
Attempt 8: 9.956100024282932ms
Attempt 9: 10.370899923145771ms
Attempt 10: 9.866899810731411ms
Average time: 10.152529925107956ms
190 vertexes:
Attempt 1: 10.82330010831356ms
Attempt 2: 11.286700144410133ms
Attempt 3: 11.372599750757217ms
Attempt 4: 10.925699956715107ms
Attempt 5: 10.720400139689445ms
Attempt 6: 10.989699978381395ms
Attempt 7: 11.584300082176924ms
Attempt 8: 11.028700042515993ms
Attempt 9: 11.045500170439482ms
Attempt 10: 10.545599739998579ms
Average time: 11.032250011339784ms
200 vertexes:
Attempt 1: 12.378400191664696ms
Attempt 2: 13.482700102031231ms
Attempt 3: 13.861299958080053ms
Attempt 4: 14.490799978375435ms
Attempt 5: 13.736499939113855ms
Attempt 6: 14.523199759423733ms
Attempt 7: 13.820900116115808ms
Attempt 8: 13.861199840903282ms
Attempt 9: 13.507099822163582ms
Attempt 10: 13.791099656373262ms
Average time: 13.745319936424494ms
210 vertexes:
Attempt 1: 15.25569986552ms
Attempt 2: 15.495500061661005ms
Attempt 3: 15.575699973851442ms
Attempt 4: 15.564300119876862ms
Attempt 5: 15.411700122058392ms
Attempt 6: 15.71609964594245ms
Attempt 7: 16.50870032608509ms
Attempt 8: 14.706899877637625ms
Attempt 9: 14.669099822640419ms
Attempt 10: 15.822299756109715ms
Average time: 15.4725999571383ms
220 vertexes:
Attempt 1: 16.617899760603905ms
Attempt 2: 17.25029991939664ms
Attempt 3: 16.36249991133809ms
Attempt 4: 16.321400180459023ms
Attempt 5: 16.19100011885166ms
