Experiment: 20250413_044211
Density: 0.4
Vertexes: 20 - 400, delta: 10
Same vertex amount repeat times: 10

20 vertexes:
Attempt 1: 0.02910010516643524ms
Attempt 2: 0.033400021493434906ms
Attempt 3: 0.027599744498729706ms
Attempt 4: 0.02459995448589325ms
Attempt 5: 0.032700132578611374ms
Attempt 6: 0.030300114303827286ms
Attempt 7: 0.032700132578611374ms
Attempt 8: 0.036499928683042526ms
Attempt 9: 0.030899886041879654ms
Attempt 10: 0.028899870812892914ms
Average time: 0.030669989064335823ms
30 vertexes:
Attempt 1: 0.07820036262273788ms
Attempt 2: 0.07429998368024826ms
Attempt 3: 0.06930017843842506ms
Attempt 4: 0.08110003545880318ms
Attempt 5: 0.07689977064728737ms
Attempt 6: 0.07810024544596672ms
Attempt 7: 0.0684000551700592ms
Attempt 8: 0.0775996595621109ms
Attempt 9: 0.07450021803379059ms
Attempt 10: 0.06899982690811157ms
Average time: 0.07474003359675407ms
40 vertexes:
Attempt 1: 0.16150018200278282ms
Attempt 2: 0.1568002626299858ms
Attempt 3: 0.1463000662624836ms
Attempt 4: 0.16119983047246933ms
Attempt 5: 0.15409989282488823ms
Attempt 6: 0.16380008310079575ms
Attempt 7: 0.16110017895698547ms
Attempt 8: 0.1460001803934574ms
Attempt 9: 0.15259999781847ms
Attempt 10: 0.2026003785431385ms
Average time: 0.1606001053005457ms
50 vertexes:
Attempt 1: 0.26430003345012665ms
Attempt 2: 0.22590020671486855ms
Attempt 3: 0.2538999542593956ms
Attempt 4: 0.2664998173713684ms
Attempt 5: 0.25690020993351936ms
Attempt 6: 0.2639000304043293ms
Attempt 7: 0.2616001293063164ms
Attempt 8: 0.2664998173713684ms
Attempt 9: 0.2649999223649502ms
Attempt 10: 0.2719997428357601ms
Average time: 0.2596499864012003ms
60 vertexes:
Attempt 1: 0.42930012568831444ms
Attempt 2: 0.4146997816860676ms
Attempt 3: 0.43400004506111145ms
Attempt 4: 0.5055996589362621ms
Attempt 5: 0.4114997573196888ms
Attempt 6: 0.41350023820996284ms
Attempt 7: 0.4199002869427204ms
Attempt 8: 0.6291000172495842ms
Attempt 9: 0.597500242292881ms
Attempt 10: 0.4837997257709503ms
Average time: 0.4738899879157543ms
70 vertexes:
Attempt 1: 0.7055001333355904ms
Attempt 2: 0.6838999688625336ms
Attempt 3: 0.7650000043213367ms
Attempt 4: 0.6657997146248817ms
Attempt 5: 0.6292001344263554ms
Attempt 6: 0.676499679684639ms
Attempt 7: 0.676299910992384ms
Attempt 8: 0.6026001647114754ms
Attempt 9: 0.552699901163578ms
Attempt 10: 0.6347000598907471ms
Average time: 0.6592199672013521ms
80 vertexes:
Attempt 1: 0.9734001941978931ms
Attempt 2: 0.9045000188052654ms
Attempt 3: 0.964100006967783ms
Attempt 4: 0.9746002033352852ms
Attempt 5: 0.9468002244830132ms
Attempt 6: 0.9637996554374695ms
Attempt 7: 0.928100198507309ms
Attempt 8: 0.950399786233902ms
Attempt 9: 0.8355998434126377ms
Attempt 10: 0.9492998942732811ms
Average time: 0.9390600025653839ms
90 vertexes:
Attempt 1: 1.2771999463438988ms
Attempt 2: 1.3985000550746918ms
Attempt 3: 1.3568000867962837ms
Attempt 4: 1.9115000031888485ms
Attempt 5: 1.2675998732447624ms
Attempt 6: 1.3182000257074833ms
Attempt 7: 1.3513998128473759ms
Attempt 8: 1.3156002387404442ms
Attempt 9: 1.337400171905756ms
Attempt 10: 1.2794001959264278ms
Average time: 1.3813600409775972ms
100 vertexes:
Attempt 1: 1.764299813657999ms
Attempt 2: 1.6721999272704124ms
Attempt 3: 1.6864999197423458ms
Attempt 4: 1.6370001249015331ms
Attempt 5: 1.7547998577356339ms
Attempt 6: 1.5886002220213413ms
Attempt 7: 1.7210999503731728ms
Attempt 8: 1.7483998090028763ms
Attempt 9: 1.7782999202609062ms
Attempt 10: 1.699300017207861ms
Average time: 1.7050499562174082ms
110 vertexes:
Attempt 1: 2.0733000710606575ms
Attempt 2: 2.2203000262379646ms
Attempt 3: 2.4419999681413174ms
Attempt 4: 2.2720000706613064ms
Attempt 5: 2.265800256282091ms
Attempt 6: 2.211499959230423ms
Attempt 7: 2.2643995471298695ms
Attempt 8: 2.232000231742859ms
Attempt 9: 2.275099977850914ms
Attempt 10: 2.233300358057022ms
Average time: 2.2489700466394424ms
120 vertexes:
Attempt 1: 2.792700193822384ms
Attempt 2: 2.8662001714110374ms
Attempt 3: 2.781100105494261ms
Attempt 4: 2.67730001360178ms
Attempt 5: 2.9136999510228634ms
Attempt 6: 2.7171997353434563ms
Attempt 7: 3.5323002375662327ms
Attempt 8: 3.16169997677207ms
Attempt 9: 2.8902003541588783ms
Attempt 10: 2.8341999277472496ms
Average time: 2.9166600666940212ms
130 vertexes:
Attempt 1: 3.5067000426352024ms
Attempt 2: 3.8153999485075474ms
Attempt 3: 3.6108000203967094ms
Attempt 4: 3.6303000524640083ms
Attempt 5: 3.5993997007608414ms
Attempt 6: 3.491000272333622ms
Attempt 7: 3.9289998821914196ms
Attempt 8: 3.5171997733414173ms
Attempt 9: 3.580499906092882ms
Attempt 10: 3.4421002492308617ms
Average time: 3.612239984795451ms
140 vertexes:
Attempt 1: 4.503400065004826ms
Attempt 2: 4.384299740195274ms
Attempt 3: 4.8929001204669476ms
Attempt 4: 4.315800033509731ms
Attempt 5: 4.695599898695946ms
Attempt 6: 4.505400080233812ms
Attempt 7: 4.526699893176556ms
Attempt 8: 4.679200239479542ms
Attempt 9: 4.244199953973293ms
Attempt 10: 4.506600089371204ms
Average time: 4.525410011410713ms
150 vertexes:
Attempt 1: 5.427500233054161ms
Attempt 2: 5.454800091683865ms
Attempt 3: 5.024399608373642ms
Attempt 4: 5.484199617058039ms
Attempt 5: 5.514799617230892ms
Attempt 6: 5.274500232189894ms
Attempt 7: 5.461100023239851ms
Attempt 8: 5.4557002149522305ms
Attempt 9: 5.441300105303526ms
Attempt 10: 5.430399905890226ms
Average time: 5.396869964897633ms
160 vertexes:
Attempt 1: 6.687500048428774ms
Attempt 2: 6.778700277209282ms
Attempt 3: 6.756700109690428ms
Attempt 4: 6.448000203818083ms
Attempt 5: 6.562800146639347ms
Attempt 6: 6.507699843496084ms
Attempt 7: 6.336799822747707ms
Attempt 8: 6.55810022726655ms
Attempt 9: 6.577699910849333ms
Attempt 10: 6.521500181406736ms
Average time: 6.573550077155232ms
170 vertexes:
Attempt 1: 7.7170999720692635ms
Attempt 2: 7.670300081372261ms
Attempt 3: 7.680600043386221ms
Attempt 4: 7.852000184357166ms
Attempt 5: 7.866099942475557ms
Attempt 6: 7.871800102293491ms
Attempt 7: 7.68749974668026ms
Attempt 8: 7.526699919253588ms
Attempt 9: 7.873900234699249ms
Attempt 10: 7.917200215160847ms
Average time: 7.76632004417479ms
180 vertexes:
Attempt 1: 9.421700146049261ms
Attempt 2: 9.651299566030502ms
Attempt 3: 9.327400010079145ms
Attempt 4: 9.091099724173546ms
Attempt 5: 9.297600015997887ms
Attempt 6: 9.256100282073021ms
Attempt 7: 9.342700242996216ms
Attempt 8: 9.695599786937237ms
Attempt 9: 9.151400066912174ms
Attempt 10: 9.023400023579597ms
Average time: 9.325829986482859ms
190 vertexes:
Attempt 1: 10.77039958909154ms
Attempt 2: 10.88040042668581ms
Attempt 3: 10.874500032514334ms
Attempt 4: 11.056100018322468ms
Attempt 5: 10.87749982252717ms
Attempt 6: 10.074399877339602ms
Attempt 7: 10.946800000965595ms
Attempt 8: 10.848599951714277ms
Attempt 9: 10.8130001462996ms
Attempt 10: 10.761499870568514ms
Average time: 10.790319973602891ms
200 vertexes:
Attempt 1: 11.987799778580666ms
Attempt 2: 11.977399699389935ms
Attempt 3: 11.815699748694897ms
Attempt 4: 12.138899881392717ms
Attempt 5: 12.510399799793959ms
Attempt 6: 12.014900334179401ms
Attempt 7: 12.416600249707699ms
Attempt 8: 11.870299931615591ms
Attempt 9: 12.181099969893694ms
Attempt 10: 12.269100174307823ms
Average time: 12.118219956755638ms
210 vertexes:
Attempt 1: 14.212800189852715ms
Attempt 2: 13.828599825501442ms
Attempt 3: 14.188000001013279ms
Attempt 4: 14.14410024881363ms
Attempt 5: 14.371300116181374ms
Attempt 6: 14.218800235539675ms
Attempt 7: 14.181999955326319ms
Attempt 8: 13.977199792861938ms
Attempt 9: 14.154099859297276ms
Attempt 10: 14.35270020738244ms
Average time: 14.162960043177009ms
220 vertexes:
Attempt 1: 16.219499986618757ms
Attempt 2: 16.33569970726967ms
Attempt 3: 15.752499923110008ms
Attempt 4: 16.115200240164995ms
Attempt 5: 16.319999936968088ms
Attempt 6: 16.23860001564026ms
Attempt 7: 16.262399964034557ms
Attempt 8: 16.43789978697896ms
Attempt 9: 16.17389963939786ms
Attempt 10: 16.189000103622675ms
Average time: 16.204469930380583ms
230 vertexes:
Attempt 1: 18.3353996835649ms
Attempt 2: 18.16880004480481ms
Attempt 3: 18.697299994528294ms
Attempt 4: 18.840800039470196ms
Attempt 5: 18.613200169056654ms
Attempt 6: 17.703899648040533ms
Attempt 7: 18.333800137043ms
Attempt 8: 18.404700327664614ms
Attempt 9: 17.705299891531467ms
Attempt 10: 18.890100065618753ms
Average time: 18.369330000132322ms
240 vertexes:
Attempt 1: 21.14029973745346ms
Attempt 2: 20.388599950820208ms
Attempt 3: 20.657300017774105ms
Attempt 4: 20.574599970132113ms
Attempt 5: 20.340499933809042ms
Attempt 6: 20.098700188100338ms
Attempt 7: 20.448599942028522ms
Attempt 8: 21.193699911236763ms
Attempt 9: 20.192000083625317ms
Attempt 10: 21.232500206679106ms
Average time: 20.626679994165897ms
250 vertexes:
Attempt 1: 23.48920004442334ms
Attempt 2: 23.754499852657318ms
Attempt 3: 23.647900205105543ms
Attempt 4: 23.587699979543686ms
Attempt 5: 23.202700074762106ms
Attempt 6: 23.817900102585554ms
Attempt 7: 22.966899909079075ms
Attempt 8: 23.568000178784132ms
Attempt 9: 24.308699648827314ms
Attempt 10: 23.000699933618307ms
Average time: 23.534419992938638ms
260 vertexes:
Attempt 1: 26.39680029824376ms
Attempt 2: 26.98039961978793ms
Attempt 3: 26.373100001364946ms
Attempt 4: 25.674700271338224ms
Attempt 5: 26.600600220263004ms
Attempt 6: 26.289999950677156ms
Attempt 7: 26.503900066018105ms
Attempt 8: 26.852200273424387ms
Attempt 9: 26.51790017262101ms
Attempt 10: 26.006000116467476ms
Average time: 26.4195600990206ms
270 vertexes:
Attempt 1: 29.88579962402582ms
Attempt 2: 30.77089972794056ms
Attempt 3: 31.72140009701252ms
Attempt 4: 29.47870036587119ms
Attempt 5: 29.319999739527702ms
Attempt 6: 29.849600046873093ms
Attempt 7: 30.01950029283762ms
Attempt 8: 29.620099812746048ms
Attempt 9: 30.129800084978342ms
Attempt 10: 29.266899917274714ms
Average time: 30.00626997090876ms
280 vertexes:
Attempt 1: 32.02790021896362ms
Attempt 2: 32.67329977825284ms
Attempt 3: 34.904500003904104ms
Attempt 4: 32.638899981975555ms
Attempt 5: 32.51990024000406ms
Attempt 6: 33.339100424200296ms
Attempt 7: 33.51720003411174ms
Attempt 8: 33.699499908834696ms
Attempt 9: 32.886500004678965ms
Attempt 10: 32.71609963849187ms
Average time: 33.092290023341775ms
290 vertexes:
Attempt 1: 37.70740004256368ms
Attempt 2: 38.843799848109484ms
Attempt 3: 36.44759999588132ms
Attempt 4: 36.24089993536472ms
Attempt 5: 36.32930014282465ms
Attempt 6: 36.40530025586486ms
Attempt 7: 38.62969996407628ms
Attempt 8: 38.34829991683364ms
Attempt 9: 37.467299960553646ms
Attempt 10: 36.60300001502037ms
Average time: 37.302260007709265ms
300 vertexes:
Attempt 1: 42.753899935632944ms
Attempt 2: 41.397400200366974ms
Attempt 3: 42.66839986667037ms
Attempt 4: 45.3914999961853ms
Attempt 5: 43.688599951565266ms
Attempt 6: 41.35299986228347ms
Attempt 7: 40.96380015835166ms
Attempt 8: 41.4468003436923ms
Attempt 9: 40.411800146102905ms
Attempt 10: 40.87459994480014ms
Average time: 42.09498004056513ms
310 vertexes:
Attempt 1: 44.15050009265542ms
Attempt 2: 44.52149989083409ms
Attempt 3: 44.71589997410774ms
Attempt 4: 43.834200128912926ms
Attempt 5: 44.68660010024905ms
Attempt 6: 44.687199871987104ms
Attempt 7: 44.4372002966702ms
Attempt 8: 44.79230009019375ms
Attempt 9: 45.0802999548614ms
Attempt 10: 45.080899726599455ms
Average time: 44.598660012707114ms
320 vertexes:
Attempt 1: 56.29549967125058ms
Attempt 2: 49.631199799478054ms
Attempt 3: 48.85399993509054ms
Attempt 4: 49.371699802577496ms
Attempt 5: 47.723999712616205ms
Attempt 6: 47.48599976301193ms
Attempt 7: 49.29499980062246ms
Attempt 8: 49.19009981676936ms
Attempt 9: 51.031799986958504ms
Attempt 10: 47.245200257748365ms
Average time: 49.61244985461235ms
330 vertexes:
Attempt 1: 53.04089980199933ms
Attempt 2: 53.80250001326203ms
Attempt 3: 54.67529967427254ms
Attempt 4: 54.05780021101236ms
Attempt 5: 54.56480011343956ms
Attempt 6: 53.125799633562565ms
Attempt 7: 55.77009962871671ms
Attempt 8: 54.84279990196228ms
Attempt 9: 54.84820017591119ms
Attempt 10: 53.041599690914154ms
Average time: 54.17697988450527ms
340 vertexes:
Attempt 1: 58.336600195616484ms
Attempt 2: 58.72189998626709ms
Attempt 3: 60.775000136345625ms
Attempt 4: 57.66009958460927ms
Attempt 5: 58.526100125163794ms
Attempt 6: 57.843399699777365ms
Attempt 7: 58.223700150847435ms
Attempt 8: 57.98709997907281ms
Attempt 9: 58.78380034118891ms
Attempt 10: 58.51410003378987ms
Average time: 58.537180023267865ms
350 vertexes:
Attempt 1: 70.93399995937943ms
Attempt 2: 65.72199985384941ms
Attempt 3: 63.57999984174967ms
Attempt 4: 63.5389001108706ms
Attempt 5: 63.57380002737045ms
Attempt 6: 63.994400203228ms
Attempt 7: 64.70390036702156ms
Attempt 8: 62.90860008448362ms
Attempt 9: 63.95629979670048ms
Attempt 10: 63.30469995737076ms
Average time: 64.6216600202024ms
360 vertexes:
Attempt 1: 69.01380000635982ms
Attempt 2: 69.37190005555749ms
Attempt 3: 71.71549974009395ms
Attempt 4: 69.85239963978529ms
Attempt 5: 68.90949979424477ms
Attempt 6: 68.18210007622838ms
Attempt 7: 69.87740006297827ms
Attempt 8: 66.6720001026988ms
Attempt 9: 70.30689995735884ms
Attempt 10: 70.9816999733448ms
Average time: 69.48831994086504ms
370 vertexes:
Attempt 1: 76.50580024346709ms
Attempt 2: 76.1790000833571ms
Attempt 3: 76.2835000641644ms
Attempt 4: 75.99969999864697ms
Attempt 5: 77.53570005297661ms
Attempt 6: 78.54590006172657ms
Attempt 7: 77.1984001621604ms
Attempt 8: 77.11710035800934ms
Attempt 9: 76.70379988849163ms
Attempt 10: 77.68339989706874ms
Average time: 76.97523008100688ms
380 vertexes:
Attempt 1: 81.30889991298318ms
Attempt 2: 81.37769997119904ms
Attempt 3: 82.79839996248484ms
Attempt 4: 82.9170998185873ms
Attempt 5: 85.0768000818789ms
Attempt 6: 82.12079992517829ms
Attempt 7: 80.02520026639104ms
Attempt 8: 82.76249980553985ms
Attempt 9: 81.02740021422505ms
Attempt 10: 81.31929999217391ms
Average time: 82.07340999506414ms
390 vertexes:
Attempt 1: 88.95839983597398ms
Attempt 2: 89.27860017865896ms
Attempt 3: 86.63359982892871ms
Attempt 4: 89.71159998327494ms
Attempt 5: 88.21590011939406ms
Attempt 6: 86.90760005265474ms
Attempt 7: 90.7876999117434ms
Attempt 8: 87.57020020857453ms
Attempt 9: 88.55069987475872ms
Attempt 10: 89.69820011407137ms
Average time: 88.63125001080334ms
400 vertexes:
Attempt 1: 93.90310011804104ms
Attempt 2: 95.11850029230118ms
Attempt 3: 96.85300011187792ms
Attempt 4: 97.48440003022552ms
Attempt 5: 92.16060023754835ms
Attempt 6: 94.4781000725925ms
Attempt 7: 95.88410006836057ms
Attempt 8: 95.69109976291656ms
Attempt 9: 95.07740009576082ms
Attempt 10: 95.08220013231039ms
Average time: 95.17325009219348ms
