Experiment: 20250413_043323
Density: 0.1
Vertexes: 20 - 200, delta: 20
Same vertex amount repeat times: 10

20 vertexes:
Attempt 1: 0.016500242054462433ms
Attempt 2: 0.014099758118391037ms
Attempt 3: 0.0020996667444705963ms
Attempt 4: 0.001600012183189392ms
Attempt 5: 0.0014998950064182281ms
Attempt 6: 0.012499745935201645ms
Attempt 7: 0.005899928510189056ms
Attempt 8: 0.013499986380338669ms
Attempt 9: 0.005700159817934036ms
Attempt 10: 0.007199589163064957ms
Average time: 0.008059898391366005ms
40 vertexes:
Attempt 1: 0.07109995931386948ms
Attempt 2: 0.09720027446746826ms
Attempt 3: 0.02110004425048828ms
Attempt 4: 0.09400025010108948ms
Attempt 5: 0.004800036549568176ms
Attempt 6: 0.10369997471570969ms
Attempt 7: 0.02800021320581436ms
Attempt 8: 0.024300068616867065ms
Attempt 9: 0.049600377678871155ms
Attempt 10: 0.08559972047805786ms
Average time: 0.05794009193778038ms
60 vertexes:
Attempt 1: 0.3299000672996044ms
Attempt 2: 0.1816004514694214ms
Attempt 3: 0.42719999328255653ms
Attempt 4: 0.26460038498044014ms
Attempt 5: 0.18400000408291817ms
Attempt 6: 0.23460015654563904ms
Attempt 7: 0.1988997682929039ms
Attempt 8: 0.21059997379779816ms
Attempt 9: 0.31819986179471016ms
Attempt 10: 0.2528997138142586ms
Average time: 0.26025003753602505ms
80 vertexes:
Attempt 1: 0.6146002560853958ms
Attempt 2: 0.3784000873565674ms
Attempt 3: 0.4118001088500023ms
Attempt 4: 0.3483998589217663ms
Attempt 5: 0.35380013287067413ms
Attempt 6: 1.12100038677454ms
Attempt 7: 0.4477999173104763ms
Attempt 8: 0.5302000790834427ms
Attempt 9: 0.5104998126626015ms
Attempt 10: 0.43189991265535355ms
Average time: 0.514840055257082ms
100 vertexes:
Attempt 1: 1.569800078868866ms
Attempt 2: 1.0250001214444637ms
Attempt 3: 1.5094997361302376ms
Attempt 4: 2.984799910336733ms
Attempt 5: 1.581599935889244ms
Attempt 6: 2.0987000316381454ms
Attempt 7: 1.4190003275871277ms
Attempt 8: 1.099499873816967ms
Attempt 9: 1.475299708545208ms
Attempt 10: 1.2272000312805176ms
Average time: 1.599039975553751ms
120 vertexes:
Attempt 1: 2.50509986653924ms
Attempt 2: 1.999999862164259ms
Attempt 3: 2.478700131177902ms
Attempt 4: 2.3598000407218933ms
Attempt 5: 2.2363997995853424ms
Attempt 6: 2.5726999156177044ms
Attempt 7: 2.4882000871002674ms
Attempt 8: 1.7311996780335903ms
Attempt 9: 1.8358002416789532ms
Attempt 10: 2.31229979544878ms
Average time: 2.252019941806793ms
140 vertexes:
Attempt 1: 2.6950999163091183ms
Attempt 2: 2.01370008289814ms
Attempt 3: 2.9438999481499195ms
Attempt 4: 3.472500015050173ms
Attempt 5: 3.6121001467108727ms
Attempt 6: 3.5462998785078526ms
Attempt 7: 3.9427001029253006ms
Attempt 8: 3.6327997222542763ms
Attempt 9: 3.07160010561347ms
Attempt 10: 2.9718996956944466ms
Average time: 3.190259961411357ms
160 vertexes:
Attempt 1: 4.477099981158972ms
Attempt 2: 5.0085000693798065ms
Attempt 3: 5.097900051623583ms
Attempt 4: 5.827000364661217ms
Attempt 5: 5.739099811762571ms
Attempt 6: 5.402300041168928ms
Attempt 7: 5.999400280416012ms
Attempt 8: 5.2269999869167805ms
Attempt 9: 4.385099746286869ms
Attempt 10: 5.5195000022649765ms
Average time: 5.2682900335639715ms
180 vertexes:
Attempt 1: 7.874900009483099ms
Attempt 2: 7.662900257855654ms
Attempt 3: 7.85809988155961ms
Attempt 4: 6.228900048881769ms
Attempt 5: 6.792600266635418ms
Attempt 6: 8.321499917656183ms
Attempt 7: 6.526099983602762ms
Attempt 8: 5.672700237482786ms
Attempt 9: 7.635099813342094ms
Attempt 10: 5.8744000270962715ms
Average time: 7.044720044359565ms
200 vertexes:
Attempt 1: 10.344000067561865ms
Attempt 2: 10.251999832689762ms
Attempt 3: 10.79990016296506ms
Attempt 4: 9.545099921524525ms
Attempt 5: 11.079099960625172ms
Attempt 6: 10.33989991992712ms
Attempt 7: 10.6414002366364ms
Attempt 8: 9.683400392532349ms
Attempt 9: 9.590800385922194ms
Attempt 10: 10.331000201404095ms
Average time: 10.260660108178854ms
