Experiment: 20250413_043326
Density: 0.1
Vertexes: 20 - 200, delta: 20
Same vertex amount repeat times: 10

20 vertexes:
Attempt 1: 0.011300202459096909ms
Attempt 2: 0.002800021320581436ms
Attempt 3: 0.011499971151351929ms
Attempt 4: 0.015600118786096573ms
Attempt 5: 0.025200191885232925ms
Attempt 6: 0.010400079190731049ms
Attempt 7: 0.016800127923488617ms
Attempt 8: 0.0029997900128364563ms
Attempt 9: 0.016600359231233597ms
Attempt 10: 0.004299916326999664ms
Average time: 0.011750077828764915ms
40 vertexes:
Attempt 1: 0.09879982098937035ms
Attempt 2: 0.07089972496032715ms
Attempt 3: 0.06469991058111191ms
Attempt 4: 0.08639972656965256ms
Attempt 5: 0.014899764209985733ms
Attempt 6: 0.057299621403217316ms
Attempt 7: 0.05779974162578583ms
Attempt 8: 0.01980038359761238ms
Attempt 9: 0.05669984966516495ms
Attempt 10: 0.0183996744453907ms
Average time: 0.05456982180476189ms
60 vertexes:
Attempt 1: 0.2842000685632229ms
Attempt 2: 0.2564997412264347ms
Attempt 3: 0.20139990374445915ms
Attempt 4: 0.22740010172128677ms
Attempt 5: 0.2164999023079872ms
Attempt 6: 0.1650000922381878ms
Attempt 7: 0.2310001291334629ms
Attempt 8: 0.20879972726106644ms
Attempt 9: 0.10780012235045433ms
Attempt 10: 0.20280014723539352ms
Average time: 0.21013999357819557ms
80 vertexes:
Attempt 1: 0.506100244820118ms
Attempt 2: 0.3758003003895283ms
Attempt 3: 0.6105001084506512ms
Attempt 4: 0.7354002445936203ms
Attempt 5: 0.7446999661624432ms
Attempt 6: 0.15620002523064613ms
Attempt 7: 0.5989000201225281ms
Attempt 8: 0.7004998624324799ms
Attempt 9: 0.6388002075254917ms
Attempt 10: 0.6300001405179501ms
Average time: 0.5696901120245457ms
100 vertexes:
Attempt 1: 1.2888000346720219ms
Attempt 2: 0.9615002200007439ms
Attempt 3: 1.2945998460054398ms
Attempt 4: 1.3771001249551773ms
Attempt 5: 1.370999962091446ms
Attempt 6: 1.2580999173223972ms
Attempt 7: 1.3067000545561314ms
Attempt 8: 1.5695001929998398ms
Attempt 9: 1.3366001658141613ms
Attempt 10: 0.8807000704109669ms
Average time: 1.2644600588828325ms
120 vertexes:
Attempt 1: 1.8215002492070198ms
Attempt 2: 2.5335000827908516ms
Attempt 3: 2.022000029683113ms
Attempt 4: 1.8826001323759556ms
Attempt 5: 1.4473996125161648ms
Attempt 6: 2.269200049340725ms
Attempt 7: 2.0689000375568867ms
Attempt 8: 1.7344998195767403ms
Attempt 9: 2.2766999900341034ms
Attempt 10: 2.2493000142276287ms
Average time: 2.030560001730919ms
140 vertexes:
Attempt 1: 3.107100259512663ms
Attempt 2: 2.887999638915062ms
Attempt 3: 3.8783997297286987ms
Attempt 4: 3.7682000547647476ms
Attempt 5: 3.780000377446413ms
Attempt 6: 3.6908998154103756ms
Attempt 7: 3.526899963617325ms
Attempt 8: 3.6261999048292637ms
Attempt 9: 3.6142002791166306ms
Attempt 10: 3.1286003068089485ms
Average time: 3.5008500330150127ms
160 vertexes:
Attempt 1: 4.827599972486496ms
Attempt 2: 6.083500105887651ms
Attempt 3: 4.654200281947851ms
Attempt 4: 6.116500124335289ms
Attempt 5: 5.617499817162752ms
Attempt 6: 4.906399641185999ms
Attempt 7: 5.39650022983551ms
Attempt 8: 4.813999868929386ms
Attempt 9: 5.329799838364124ms
Attempt 10: 4.895299673080444ms
Average time: 5.26412995532155ms
180 vertexes:
Attempt 1: 6.910600233823061ms
Attempt 2: 8.545600343495607ms
Attempt 3: 8.159299846738577ms
Attempt 4: 7.9565998166799545ms
Attempt 5: 5.944299977272749ms
Attempt 6: 8.53750016540289ms
Attempt 7: 7.51490006223321ms
Attempt 8: 8.012000005692244ms
Attempt 9: 7.299499586224556ms
Attempt 10: 8.260599803179502ms
Average time: 7.714089984074235ms
200 vertexes:
Attempt 1: 9.801900014281273ms
Attempt 2: 10.269099846482277ms
Attempt 3: 10.95200004056096ms
Attempt 4: 9.806300047785044ms
Attempt 5: 9.397000074386597ms
Attempt 6: 10.539799928665161ms
Attempt 7: 8.36810003966093ms
Attempt 8: 10.660599917173386ms
Attempt 9: 10.633499827235937ms
Attempt 10: 10.377800092101097ms
Average time: 10.080609982833266ms
