Experiment: 20250413_043405
Density: 1
Vertexes: 20 - 400, delta: 10
Same vertex amount repeat times: 20

20 vertexes:
Attempt 1: 0.04540011286735535ms
Attempt 2: 0.03729993477463722ms
Attempt 3: 0.03800028935074806ms
Attempt 4: 0.03609992563724518ms
Attempt 5: 0.03590015694499016ms
Attempt 6: 0.03550015389919281ms
Attempt 7: 0.03569992259144783ms
Attempt 8: 0.0350000336766243ms
Attempt 9: 0.03480026498436928ms
Attempt 10: 0.03529991954565048ms
Attempt 11: 0.03639981150627136ms
Attempt 12: 0.03510015085339546ms
Attempt 13: 0.03460003063082695ms
Attempt 14: 0.035099685192108154ms
Attempt 15: 0.04119984805583954ms
Attempt 16: 0.03079976886510849ms
Attempt 17: 0.031100120395421982ms
Attempt 18: 0.030500348657369614ms
Attempt 19: 0.031000003218650818ms
Attempt 20: 0.030499882996082306ms
Average time: 0.03526501823216677ms
30 vertexes:
Attempt 1: 0.07859990000724792ms
Attempt 2: 0.0784001313149929ms
Attempt 3: 0.18540024757385254ms
Attempt 4: 0.14689983800053596ms
Attempt 5: 0.09369989857077599ms
Attempt 6: 0.08569983765482903ms
Attempt 7: 0.08359970524907112ms
Attempt 8: 0.08350005373358727ms
Attempt 9: 0.0854996033012867ms
Attempt 10: 0.0804997980594635ms
Attempt 11: 0.08640019223093987ms
Attempt 12: 0.08219992741942406ms
Attempt 13: 0.08530030027031898ms
Attempt 14: 0.08570030331611633ms
Attempt 15: 0.08520018309354782ms
Attempt 16: 0.08070003241300583ms
Attempt 17: 0.08890032768249512ms
Attempt 18: 0.0841999426484108ms
Attempt 19: 0.08899997919797897ms
Attempt 20: 0.08939998224377632ms
Average time: 0.09294000919908285ms
40 vertexes:
Attempt 1: 0.16750022768974304ms
Attempt 2: 0.171000137925148ms
Attempt 3: 0.16120029613375664ms
Attempt 4: 0.16460008919239044ms
Attempt 5: 0.16739964485168457ms
Attempt 6: 0.1642000861465931ms
Attempt 7: 0.1675998792052269ms
Attempt 8: 0.16440032050013542ms
Attempt 9: 0.1642000861465931ms
Attempt 10: 0.16789976507425308ms
Attempt 11: 0.16899965703487396ms
Attempt 12: 0.1739002764225006ms
Attempt 13: 0.16870023682713509ms
Attempt 14: 0.1680999994277954ms
Attempt 15: 0.16499962657690048ms
Attempt 16: 0.1738998107612133ms
Attempt 17: 0.16070017591118813ms
Attempt 18: 0.16140006482601166ms
Attempt 19: 0.15989970415830612ms
Attempt 20: 0.16689999029040337ms
Average time: 0.16637500375509262ms
50 vertexes:
Attempt 1: 0.2896999940276146ms
Attempt 2: 0.29949983581900597ms
Attempt 3: 0.28140004724264145ms
Attempt 4: 0.27820002287626266ms
Attempt 5: 0.28689997270703316ms
Attempt 6: 0.3541000187397003ms
Attempt 7: 0.2762996591627598ms
Attempt 8: 0.28030015528202057ms
Attempt 9: 0.26869960129261017ms
Attempt 10: 0.2770000137388706ms
Attempt 11: 0.2708001993596554ms
Attempt 12: 0.28140004724264145ms
Attempt 13: 0.291499774903059ms
Attempt 14: 0.2856999635696411ms
Attempt 15: 0.2719997428357601ms
Attempt 16: 0.2743997611105442ms
Attempt 17: 0.2791997976601124ms
Attempt 18: 0.2711997367441654ms
Attempt 19: 0.27449987828731537ms
Attempt 20: 0.2664998173713684ms
Average time: 0.2829649019986391ms
60 vertexes:
Attempt 1: 0.43400004506111145ms
Attempt 2: 0.4619997926056385ms
Attempt 3: 0.4232996143400669ms
Attempt 4: 0.521400012075901ms
Attempt 5: 0.4396000877022743ms
Attempt 6: 0.4504001699388027ms
Attempt 7: 0.46010036021471024ms
Attempt 8: 0.48719998449087143ms
Attempt 9: 0.4838001914322376ms
Attempt 10: 0.4754001274704933ms
Attempt 11: 0.4775999113917351ms
