Experiment: 20250413_050431
Density: 0.4
Vertexes: 20 - 400, delta: 10
Same vertex amount repeat times: 10

20 vertexes:
Attempt 1: 0.03660004585981369ms
Attempt 2: 0.03460003063082695ms
Attempt 3: 0.03529991954565048ms
Attempt 4: 0.031400006264448166ms
Attempt 5: 0.03480026498436928ms
Attempt 6: 0.03350013867020607ms
Attempt 7: 0.03820005804300308ms
Attempt 8: 0.033200252801179886ms
Attempt 9: 0.03529991954565048ms
Attempt 10: 0.03300001844763756ms
Average time: 0.034590065479278564ms
30 vertexes:
Attempt 1: 0.0792001374065876ms
Attempt 2: 0.09300000965595245ms
Attempt 3: 0.08440017700195312ms
Attempt 4: 0.0842004083096981ms
Attempt 5: 0.08720019832253456ms
Attempt 6: 0.07200008258223534ms
Attempt 7: 0.08020037785172462ms
Attempt 8: 0.07499987259507179ms
Attempt 9: 0.08120015263557434ms
Attempt 10: 0.08769985288381577ms
Average time: 0.08241012692451477ms
40 vertexes:
Attempt 1: 0.13749999925494194ms
Attempt 2: 0.1488998532295227ms
Attempt 3: 0.1676003448665142ms
Attempt 4: 0.1400001347064972ms
Attempt 5: 0.15300000086426735ms
Attempt 6: 0.16239983960986137ms
Attempt 7: 0.16029970720410347ms
Attempt 8: 0.1531001180410385ms
Attempt 9: 0.1689000055193901ms
Attempt 10: 0.14110002666711807ms
Average time: 0.1532800029963255ms
50 vertexes:
Attempt 1: 0.30140019953250885ms
Attempt 2: 0.28140004724264145ms
Attempt 3: 0.29399991035461426ms
Attempt 4: 0.27670012786984444ms
Attempt 5: 0.2616001293063164ms
Attempt 6: 0.2720002084970474ms
Attempt 7: 0.2907998859882355ms
Attempt 8: 0.26169978082180023ms
Attempt 9: 0.25929976254701614ms
Attempt 10: 0.282099936157465ms
Average time: 0.27809999883174896ms
60 vertexes:
Attempt 1: 0.5378001369535923ms
Attempt 2: 0.4367996007204056ms
Attempt 3: 0.4369998350739479ms
Attempt 4: 0.471300445497036ms
Attempt 5: 0.46999985352158546ms
Attempt 6: 0.4569999873638153ms
Attempt 7: 0.4696999676525593ms
Attempt 8: 0.45640021562576294ms
Attempt 9: 0.45109959319233894ms
Attempt 10: 0.41189976036548615ms
Average time: 0.459899939596653ms
70 vertexes:
Attempt 1: 0.7540001533925533ms
Attempt 2: 0.6723999977111816ms
Attempt 3: 0.6062998436391354ms
Attempt 4: 0.6530000828206539ms
Attempt 5: 0.6630998104810715ms
Attempt 6: 0.6605996750295162ms
Attempt 7: 0.617599580436945ms
Attempt 8: 0.6687999702990055ms
Attempt 9: 0.6730002351105213ms
Attempt 10: 0.6213001906871796ms
Average time: 0.6590099539607763ms
80 vertexes:
Attempt 1: 1.0747998021543026ms
Attempt 2: 1.2757000513374805ms
Attempt 3: 1.020600087940693ms
Attempt 4: 0.9764996357262135ms
Attempt 5: 0.9217998012900352ms
Attempt 6: 0.9245998226106167ms
Attempt 7: 0.9125000797212124ms
Attempt 8: 0.9810999035835266ms
Attempt 9: 1.0001002810895443ms
Attempt 10: 0.9830002672970295ms
Average time: 1.0070699732750654ms
90 vertexes:
Attempt 1: 1.3763001188635826ms
Attempt 2: 1.3504000380635262ms
Attempt 3: 1.143499743193388ms
Attempt 4: 1.3239998370409012ms
Attempt 5: 1.3315998949110508ms
Attempt 6: 1.3021999038755894ms
Attempt 7: 1.2737000361084938ms
Attempt 8: 1.278300303965807ms
Attempt 9: 1.1839000508189201ms
Attempt 10: 1.389200333505869ms
Average time: 1.2953100260347128ms
100 vertexes:
Attempt 1: 1.7936998046934605ms
Attempt 2: 1.7868001013994217ms
Attempt 3: 1.7483001574873924ms
Attempt 4: 1.7256001010537148ms
Attempt 5: 1.5762001276016235ms
Attempt 6: 1.7518000677227974ms
Attempt 7: 1.759799662977457ms
Attempt 8: 1.7254999838769436ms
Attempt 9: 1.749000046402216ms
Attempt 10: 1.6673998907208443ms
Average time: 1.7284099943935871ms
110 vertexes:
Attempt 1: 2.336100209504366ms
Attempt 2: 2.3191003128886223ms
Attempt 3: 2.154900226742029ms
Attempt 4: 2.320599742233753ms
Attempt 5: 2.2630998864769936ms
Attempt 6: 2.288700081408024ms
Attempt 7: 2.1476997062563896ms
Attempt 8: 2.209099940955639ms
Attempt 9: 2.3484001867473125ms
Attempt 10: 2.278300002217293ms
Average time: 2.266600029543042ms
120 vertexes:
Attempt 1: 2.854200080037117ms
Attempt 2: 2.8674001805484295ms
Attempt 3: 2.811300102621317ms
Attempt 4: 2.9219002462923527ms
Attempt 5: 2.875399775803089ms
Attempt 6: 2.911000046879053ms
Attempt 7: 2.885699737817049ms
Attempt 8: 2.96520022675395ms
Attempt 9: 2.878699917346239ms
Attempt 10: 2.7707000263035297ms
Average time: 2.8741500340402126ms
130 vertexes:
Attempt 1: 3.620699979364872ms
Attempt 2: 3.6597000434994698ms
Attempt 3: 3.751399926841259ms
Attempt 4: 3.599900286644697ms
Attempt 5: 3.602100070565939ms
Attempt 6: 3.672800026834011ms
Attempt 7: 3.6192000843584538ms
Attempt 8: 3.661499824374914ms
Attempt 9: 3.5867001861333847ms
Attempt 10: 3.4545999951660633ms
Average time: 3.6228600423783064ms
140 vertexes:
Attempt 1: 4.532800056040287ms
Attempt 2: 4.435900133103132ms
Attempt 3: 4.564800299704075ms
Attempt 4: 4.5159002766013145ms
Attempt 5: 4.546700045466423ms
Attempt 6: 4.2709000408649445ms
Attempt 7: 4.540999885648489ms
