Experiment: 20250413_050621
Density: 0.2
Vertexes: 20 - 400, delta: 10
Same vertex amount repeat times: 10

20 vertexes:
Average time: 6.068270048126578ms
170 vertexes:
Attempt 1: 7.2351000271737576ms
Attempt 2: 6.397899705916643ms
Attempt 3: 7.932600099593401ms
Attempt 4: 6.986699998378754ms
Attempt 5: 8.298599626868963ms
Attempt 6: 7.054100278764963ms
Attempt 7: 7.59839965030551ms
Attempt 8: 7.225499954074621ms
Attempt 9: 7.054000161588192ms
Attempt 10: 6.521899718791246ms
Average time: 7.230479922145605ms
180 vertexes:
Attempt 1: 9.284100029617548ms
Attempt 2: 8.950300049036741ms
Attempt 3: 8.30879993736744ms
Attempt 4: 7.635500282049179ms
Attempt 5: 8.861300069838762ms
Attempt 6: 8.857899811118841ms
Attempt 7: 8.456400129944086ms
Attempt 8: 9.248600341379642ms
Attempt 9: 8.798900060355663ms
Attempt 10: 8.817399851977825ms
Average time: 8.721920056268573ms
190 vertexes:
Attempt 1: 10.38610003888607ms
Attempt 2: 9.657299611717463ms
Attempt 3: 10.350100230425596ms
Attempt 4: 9.945699945092201ms
Attempt 5: 11.36420015245676ms
Attempt 6: 10.579700116068125ms
Attempt 7: 10.099600069224834ms
Attempt 8: 10.024200193583965ms
Attempt 9: 9.224799927324057ms
Attempt 10: 10.383300017565489ms
Average time: 10.201500030234456ms
200 vertexes:
Attempt 1: 11.585899628698826ms
Attempt 2: 12.002300005406141ms
Attempt 3: 11.934599839150906ms
Attempt 4: 11.221100110560656ms
Attempt 5: 11.860100086778402ms
Attempt 6: 11.698899790644646ms
Attempt 7: 12.275000102818012ms
Attempt 8: 12.627499643713236ms
Attempt 9: 11.68570015579462ms
Attempt 10: 11.104200035333633ms
Average time: 11.799529939889908ms
210 vertexes:
Attempt 1: 13.639300130307674ms
Attempt 2: 13.547700364142656ms
Attempt 3: 14.192999806255102ms
Attempt 4: 13.238400220870972ms
Attempt 5: 13.102900236845016ms
Attempt 6: 13.760299887508154ms
Attempt 7: 14.056699816137552ms
Attempt 8: 13.644799590110779ms
Attempt 9: 13.55479983612895ms
Attempt 10: 14.089799951761961ms
Average time: 13.682769984006882ms
220 vertexes:
Attempt 1: 16.094899736344814ms
Attempt 2: 15.563299879431725ms
Attempt 3: 15.352899674326181ms
Attempt 4: 14.723700005561113ms
Attempt 5: 14.802000019699335ms
Attempt 6: 15.54090017452836ms
Attempt 7: 15.673100017011166ms
Attempt 8: 15.53660025820136ms
Attempt 9: 15.985600184649229ms
Attempt 10: 16.743300016969442ms
Average time: 15.601629996672273ms
230 vertexes:
Attempt 1: 18.006099853664637ms
Attempt 2: 17.874099779874086ms
Attempt 3: 18.499699886888266ms
Attempt 4: 18.452700227499008ms
Attempt 5: 16.41640020534396ms
Attempt 6: 16.606499906629324ms
Attempt 7: 18.04050011560321ms
Attempt 8: 17.55509991198778ms
Attempt 9: 17.64139998704195ms
Attempt 10: 18.70639994740486ms
Average time: 17.77988998219371ms
240 vertexes:
Attempt 1: 20.942499861121178ms
Attempt 2: 20.4436001367867ms
Attempt 3: 20.596500020474195ms
Attempt 4: 20.60149982571602ms
Attempt 5: 19.800500012934208ms
Attempt 6: 20.192299969494343ms
Attempt 7: 21.031600423157215ms
Attempt 8: 20.954499952495098ms
Attempt 9: 19.893900025635958ms
Attempt 10: 20.310900174081326ms
Average time: 20.476780040189624ms
250 vertexes:
Attempt 1: 23.2077999971807ms
Attempt 2: 23.283899761736393ms
Attempt 3: 22.666600067168474ms
Attempt 4: 20.456199999898672ms
Attempt 5: 22.67730003222823ms
Attempt 6: 22.779599763453007ms
Attempt 7: 23.26949965208769ms
Attempt 8: 21.11870003864169ms
Attempt 9: 24.8000998981297ms
Attempt 10: 22.052399814128876ms
Average time: 22.631209902465343ms
260 vertexes:
Attempt 1: 22.620500065386295ms
Attempt 2: 25.80949990078807ms
Attempt 3: 26.89399989321828ms
Attempt 4: 25.82689980044961ms
Attempt 5: 24.76469986140728ms
Attempt 6: 24.602499790489674ms
Attempt 7: 25.895799975842237ms
Attempt 8: 25.157599709928036ms
Attempt 9: 23.534299805760384ms
Attempt 10: 25.178899988532066ms
Average time: 25.028469879180193ms
270 vertexes:
Attempt 1: 29.608000069856644ms
Attempt 2: 27.867500204592943ms
Attempt 3: 28.321100398898125ms
Attempt 4: 28.62869994714856ms
Attempt 5: 30.34469997510314ms
Attempt 6: 30.86489997804165ms
Attempt 7: 28.4897000528872ms
Attempt 8: 28.885200154036283ms
Attempt 9: 28.605899773538113ms
Attempt 10: 28.369000181555748ms
Average time: 28.99847007356584ms
280 vertexes:
Attempt 1: 31.168300192803144ms
Attempt 2: 30.950600281357765ms
Attempt 3: 32.941899728029966ms
Attempt 4: 32.90909994393587ms
Attempt 5: 32.84920006990433ms
Attempt 6: 32.24699990823865ms
Attempt 7: 30.185899697244167ms
Attempt 8: 30.755399726331234ms
Attempt 9: 32.251300290226936ms
Attempt 10: 31.634900253266096ms
Average time: 31.789360009133816ms
290 vertexes:
Attempt 1: 35.093000158667564ms
Attempt 2: 35.36870004609227ms
Attempt 3: 37.271699868142605ms
Attempt 4: 34.642300102859735ms
Attempt 5: 35.379200242459774ms
Attempt 6: 34.684200305491686ms
Attempt 7: 36.2444999627769ms
Attempt 8: 36.9031997397542ms
Attempt 9: 35.88819969445467ms
Attempt 10: 36.54689993709326ms
Average time: 35.802190005779266ms
300 vertexes:
Attempt 1: 38.47100026905537ms
Attempt 2: 39.28729984909296ms
Attempt 3: 39.072700310498476ms
Attempt 4: 38.22290012612939ms
Attempt 5: 39.88019982352853ms
Attempt 6: 38.98740001022816ms
Attempt 7: 40.74499988928437ms
Attempt 8: 40.96979973837733ms
Attempt 9: 41.04349995031953ms
Attempt 10: 39.76330021396279ms
Average time: 39.64431001804769ms
310 vertexes:
Attempt 1: 45.00199994072318ms
Attempt 2: 44.018799904733896ms
Attempt 3: 44.432499911636114ms
Attempt 4: 44.63799996301532ms
Attempt 5: 44.23750005662441ms
Attempt 6: 43.55490021407604ms
Attempt 7: 40.492100175470114ms
Attempt 8: 44.87929958850145ms
Attempt 9: 43.70690044015646ms
Attempt 10: 45.08080007508397ms
Average time: 44.004280027002096ms
320 vertexes:
Attempt 1: 48.3070001937449ms
Attempt 2: 48.75710001215339ms
Attempt 3: 49.20999985188246ms
Attempt 4: 47.98209993168712ms
Attempt 5: 48.7831998616457ms
Attempt 6: 49.4746002368629ms
Attempt 7: 48.557200003415346ms
Attempt 8: 49.10760000348091ms
Attempt 9: 48.26730024069548ms
Attempt 10: 48.28150011599064ms
Average time: 48.67276004515588ms
330 vertexes:
Attempt 1: 53.29499999061227ms
Attempt 2: 52.2902999073267ms
Attempt 3: 53.446299862116575ms
Attempt 4: 48.59899962320924ms
Attempt 5: 51.23359989374876ms
Attempt 6: 53.88280004262924ms
Attempt 7: 53.701499942690134ms
Attempt 8: 52.29170015081763ms
Attempt 9: 52.03519994392991ms
Attempt 10: 51.116100046783686ms
Average time: 52.189149940386415ms
340 vertexes:
Attempt 1: 59.265900403261185ms
Attempt 2: 59.18750027194619ms
Attempt 3: 58.56729997321963ms
Attempt 4: 58.43190010637045ms
Attempt 5: 56.19620019569993ms
Attempt 6: 58.50260006263852ms
Attempt 7: 58.93749976530671ms
Attempt 8: 56.46020034328103ms
Attempt 9: 58.37580002844334ms
Attempt 10: 60.17779977992177ms
Average time: 58.410270093008876ms
350 vertexes:
Attempt 1: 64.60169982165098ms
Attempt 2: 62.46579997241497ms
Attempt 3: 66.92839972674847ms
Attempt 4: 63.1161998026073ms
Attempt 5: 64.30470012128353ms
Attempt 6: 64.72259992733598ms
Attempt 7: 60.15249993652105ms
Attempt 8: 63.58670024201274ms
Attempt 9: 64.40720008686185ms
Attempt 10: 64.68239985406399ms
Average time: 63.896819949150085ms
360 vertexes:
Attempt 1: 70.09289972484112ms
Attempt 2: 68.07889975607395ms
Attempt 3: 66.84370012953877ms
Attempt 4: 70.92510024085641ms
Attempt 5: 68.53160029277205ms
Attempt 6: 68.04799987003207ms
Attempt 7: 65.62580028548837ms
Attempt 8: 67.04969983547926ms
Attempt 9: 64.95669996365905ms
Attempt 10: 69.97229997068644ms
Average time: 68.01247000694275ms
370 vertexes:
Attempt 1: 73.62270029261708ms
Attempt 2: 70.9040998481214ms
Attempt 3: 74.05850011855364ms
Attempt 4: 73.74090002849698ms
Attempt 5: 75.10549994185567ms
Attempt 6: 72.29579985141754ms
Attempt 7: 76.31359994411469ms
Attempt 8: 69.77469986304641ms
Attempt 9: 73.64990003407001ms
Attempt 10: 77.32659997418523ms
Average time: 73.67922998964787ms
380 vertexes:
Attempt 1: 80.68470004945993ms
Attempt 2: 82.48759992420673ms
Attempt 3: 78.62140005454421ms
Attempt 4: 81.85759978368878ms
Attempt 5: 77.52159982919693ms
Attempt 6: 82.36460015177727ms
Attempt 7: 82.70320016890764ms
Attempt 8: 80.42450016364455ms
Attempt 9: 81.14650007337332ms
Attempt 10: 79.56029986962676ms
Average time: 80.73720000684261ms
390 vertexes:
Attempt 1: 84.41899996250868ms
Attempt 2: 86.42780035734177ms
Attempt 3: 81.81200036779046ms
Attempt 4: 86.96099976077676ms
Attempt 5: 83.96700024604797ms
Attempt 6: 90.94820031896234ms
Attempt 7: 87.39320002496243ms
Attempt 8: 88.38000008836389ms
Attempt 9: 87.12320029735565ms
Attempt 10: 84.20199993997812ms
Average time: 86.1633401364088ms
400 vertexes:
Attempt 1: 92.25200023502111ms
Attempt 2: 94.18410016223788ms
Attempt 3: 94.51939957216382ms
Attempt 4: 97.26689988747239ms
Attempt 5: 92.55929989740252ms
Attempt 6: 106.7110002040863ms
Attempt 7: 96.22909966856241ms
Attempt 8: 92.89669990539551ms
Attempt 9: 95.4152001067996ms
Attempt 10: 93.31260016188025ms
Average time: 95.53462998010218ms
