Experiment: 20250413_043202
Density: 0.6
Vertexes: 20 - 200, delta: 20
Same vertex amount repeat times: 10

20 vertexes:
Attempt 1: 0.041800085455179214ms
Attempt 2: 0.035400036722421646ms
Attempt 3: 0.03690039739012718ms
Attempt 4: 0.03620004281401634ms
Attempt 5: 0.036700163036584854ms
Attempt 6: 0.038899946957826614ms
Attempt 7: 0.0337003730237484ms
Attempt 8: 0.034899916499853134ms
Attempt 9: 0.0350000336766243ms
Attempt 10: 0.0350000336766243ms
Average time: 0.0364501029253006ms
40 vertexes:
Attempt 1: 0.18780026584863663ms
Attempt 2: 0.1630997285246849ms
Attempt 3: 0.16620010137557983ms
Attempt 4: 0.1610000617802143ms
Attempt 5: 0.16609998419880867ms
Attempt 6: 0.16900012269616127ms
Attempt 7: 0.1726001501083374ms
Attempt 8: 0.16750022768974304ms
Attempt 9: 0.17479993402957916ms
Attempt 10: 0.17030024901032448ms
Average time: 0.16984008252620697ms
60 vertexes:
Attempt 1: 0.47610001638531685ms
Attempt 2: 0.4709996283054352ms
Attempt 3: 0.48159994184970856ms
Attempt 4: 0.4770001396536827ms
Attempt 5: 0.47209998592734337ms
Attempt 6: 0.43429993093013763ms
Attempt 7: 0.4683001898229122ms
Attempt 8: 0.47239987179636955ms
Attempt 9: 0.7829000242054462ms
Attempt 10: 0.8550998754799366ms
Average time: 0.5390799604356289ms
80 vertexes:
Attempt 1: 1.0280003771185875ms
Attempt 2: 1.011400017887354ms
Attempt 3: 1.0143001563847065ms
Attempt 4: 1.0039000771939754ms
Attempt 5: 0.9996998123824596ms
Attempt 6: 1.0194000788033009ms
Attempt 7: 0.9985999204218388ms
Attempt 8: 1.0146000422537327ms
Attempt 9: 1.0050996206700802ms
Attempt 10: 1.0149995796382427ms
Average time: 1.0109999682754278ms
100 vertexes:
Attempt 1: 1.8587000668048859ms
Attempt 2: 1.8867002800107002ms
Attempt 3: 1.8965001218020916ms
Attempt 4: 2.911000046879053ms
Attempt 5: 1.9057001918554306ms
Attempt 6: 1.8457998521625996ms
Attempt 7: 1.8826001323759556ms
Attempt 8: 1.853299792855978ms
Attempt 9: 1.8249000422656536ms
Attempt 10: 1.8756999634206295ms
Average time: 1.9740900490432978ms
120 vertexes:
Attempt 1: 3.1991000287234783ms
Attempt 2: 3.0327001586556435ms
Attempt 3: 2.9656002297997475ms
Attempt 4: 2.969800028949976ms
Attempt 5: 3.235700074583292ms
Attempt 6: 3.0771996825933456ms
Attempt 7: 2.955700270831585ms
Attempt 8: 3.0281003564596176ms
Attempt 9: 3.2293000258505344ms
Attempt 10: 3.0735000036656857ms
Average time: 3.0766700860112906ms
140 vertexes:
Attempt 1: 4.608499817550182ms
Attempt 2: 4.5460001565515995ms
Attempt 3: 4.867000039666891ms
Attempt 4: 4.7750999219715595ms
Attempt 5: 4.6614003367722034ms
Attempt 6: 4.4929999858140945ms
Attempt 7: 4.4871000573039055ms
Attempt 8: 4.671599715948105ms
Attempt 9: 4.636600147932768ms
Attempt 10: 4.561400040984154ms
Average time: 4.630770022049546ms
160 vertexes:
Attempt 1: 6.5819998271763325ms
Attempt 2: 6.790600251406431ms
Attempt 3: 6.5786996856331825ms
Attempt 4: 6.749399937689304ms
Attempt 5: 6.832499988377094ms
Attempt 6: 6.605600006878376ms
Attempt 7: 6.741899996995926ms
Attempt 8: 6.582899950444698ms
Attempt 9: 6.487200036644936ms
Attempt 10: 7.164500188082457ms
Average time: 6.711529986932874ms
180 vertexes:
Attempt 1: 9.388700127601624ms
Attempt 2: 9.248199872672558ms
Attempt 3: 9.308000095188618ms
Attempt 4: 9.203099645674229ms
Attempt 5: 9.336000308394432ms
Attempt 6: 9.292399976402521ms
Attempt 7: 9.413199964910746ms
Attempt 8: 9.2612998560071ms
Attempt 9: 9.241099935024977ms
Attempt 10: 9.37770027667284ms
Average time: 9.306970005854964ms
200 vertexes:
Attempt 1: 12.29600002989173ms
Attempt 2: 12.561799958348274ms
Attempt 3: 12.543399818241596ms
Attempt 4: 12.56479974836111ms
Attempt 5: 12.947000097483397ms
Attempt 6: 12.628800235688686ms
Attempt 7: 12.932199984788895ms
Attempt 8: 12.716500088572502ms
Attempt 9: 12.700400315225124ms
Attempt 10: 12.745000422000885ms
Average time: 12.66359006986022ms
