Experiment: 20250413_043332
Density: 0.1
Vertexes: 20 - 200, delta: 20
Same vertex amount repeat times: 10

20 vertexes:
Attempt 1: 0.015200115740299225ms
Attempt 2: 0.007199589163064957ms
Attempt 3: 0.014500226825475693ms
Attempt 4: 0.006400048732757568ms
Attempt 5: 0.015600118786096573ms
Attempt 6: 0.011899974197149277ms
Attempt 7: 0.004200264811515808ms
Attempt 8: 0.00909995287656784ms
Attempt 9: 0.0016996636986732483ms
Attempt 10: 0.0070999376475811005ms
Average time: 0.009289989247918129ms
40 vertexes:
Attempt 1: 0.027799978852272034ms
Attempt 2: 0.09980006143450737ms
Attempt 3: 0.09640026837587357ms
Attempt 4: 0.09029963985085487ms
Attempt 5: 0.02420041710138321ms
Attempt 6: 0.11970009654760361ms
Attempt 7: 0.08470006287097931ms
Attempt 8: 0.08470006287097931ms
Attempt 9: 0.06820028647780418ms
Attempt 10: 0.07299985736608505ms
Average time: 0.07688007317483425ms
60 vertexes:
Attempt 1: 0.26240013539791107ms
Attempt 2: 0.1449999399483204ms
Attempt 3: 0.02879975363612175ms
Attempt 4: 0.21329987794160843ms
Attempt 5: 0.24230033159255981ms
Attempt 6: 0.2836002968251705ms
Attempt 7: 0.2533998340368271ms
Attempt 8: 0.09739957749843597ms
Attempt 9: 0.20090024918317795ms
Attempt 10: 0.3022998571395874ms
Average time: 0.20293998531997204ms
80 vertexes:
Attempt 1: 0.5153999663889408ms
Attempt 2: 0.48269983381032944ms
Attempt 3: 0.5148001946508884ms
Attempt 4: 0.5936999805271626ms
Attempt 5: 0.5936003290116787ms
Attempt 6: 0.4711998626589775ms
Attempt 7: 0.5599996075034142ms
Attempt 8: 0.7250001654028893ms
Attempt 9: 0.22669974714517593ms
Attempt 10: 0.4012999124825001ms
Average time: 0.5084399599581957ms
100 vertexes:
Attempt 1: 1.2417999096214771ms
Attempt 2: 1.4308001846075058ms
Attempt 3: 1.368700060993433ms
Attempt 4: 1.3417000882327557ms
Attempt 5: 1.2066001072525978ms
Attempt 6: 1.3997000642120838ms
Attempt 7: 1.1921999976038933ms
Attempt 8: 1.2349998578429222ms
Attempt 9: 1.1477000080049038ms
Attempt 10: 1.391600351780653ms
Average time: 1.2955800630152225ms
120 vertexes:
Attempt 1: 2.6072999462485313ms
Attempt 2: 1.654299907386303ms
Attempt 3: 2.508599776774645ms
Attempt 4: 2.2644996643066406ms
Attempt 5: 1.9677001982927322ms
Attempt 6: 2.5016996078193188ms
Attempt 7: 1.321599818766117ms
Attempt 8: 2.575300168246031ms
Attempt 9: 1.4606001786887646ms
Attempt 10: 2.128100022673607ms
Average time: 2.098969928920269ms
140 vertexes:
Attempt 1: 3.1817001290619373ms
Attempt 2: 2.9186001047492027ms
Attempt 3: 3.6697001196444035ms
Attempt 4: 3.585999831557274ms
Attempt 5: 2.589599695056677ms
Attempt 6: 2.8931000269949436ms
Attempt 7: 3.9391997270286083ms
Attempt 8: 3.531999886035919ms
Attempt 9: 3.9126998744904995ms
Attempt 10: 3.7046000361442566ms
Average time: 3.392719943076372ms
160 vertexes:
Attempt 1: 5.1299999468028545ms
Attempt 2: 6.092400290071964ms
Attempt 3: 5.392000079154968ms
Attempt 4: 5.7021998800337315ms
Attempt 5: 5.567100364714861ms
Attempt 6: 5.073199979960918ms
Attempt 7: 5.5726999416947365ms
Attempt 8: 5.1263002678751945ms
Attempt 9: 4.773799795657396ms
Attempt 10: 5.508400034159422ms
Average time: 5.393810058012605ms
180 vertexes:
Attempt 1: 8.367700036615133ms
Attempt 2: 7.310700137168169ms
Attempt 3: 6.972600240260363ms
Attempt 4: 8.305800147354603ms
Attempt 5: 7.471400313079357ms
Attempt 6: 6.241599563509226ms
Attempt 7: 7.789699826389551ms
Attempt 8: 8.071099873632193ms
Attempt 9: 8.556400425732136ms
Attempt 10: 7.380399852991104ms
Average time: 7.646740041673183ms
200 vertexes:
Attempt 1: 10.890900157392025ms
Attempt 2: 10.20629983395338ms
Attempt 3: 10.568399913609028ms
Attempt 4: 10.52460027858615ms
Attempt 5: 10.764600243419409ms
Attempt 6: 11.891299858689308ms
Attempt 7: 12.415600009262562ms
Attempt 8: 11.014000046998262ms
Attempt 9: 10.168600361794233ms
Attempt 10: 9.093999862670898ms
Average time: 10.753830056637526ms
