Experiment: 20250413_043304
Density: 0.2
Vertexes: 20 - 200, delta: 20
Same vertex amount repeat times: 10

20 vertexes:
Attempt 1: 0.047099776566028595ms
Attempt 2: 0.022499822080135345ms
Attempt 3: 0.00509992241859436ms
Attempt 4: 0.016800127923488617ms
Attempt 5: 0.013600103557109833ms
Attempt 6: 0.0029997900128364563ms
Attempt 7: 0.004100147634744644ms
Attempt 8: 0.016100239008665085ms
Attempt 9: 0.004300381988286972ms
Attempt 10: 0.016700010746717453ms
Average time: 0.014930032193660736ms
40 vertexes:
Attempt 1: 0.1162998378276825ms
Attempt 2: 0.10640034452080727ms
Attempt 3: 0.12159999459981918ms
Attempt 4: 0.0904998742043972ms
Attempt 5: 0.10079983621835709ms
Attempt 6: 0.10140007361769676ms
Attempt 7: 0.10479986667633057ms
Attempt 8: 0.30880002304911613ms
Attempt 9: 0.13159960508346558ms
Attempt 10: 0.09429967030882835ms
Average time: 0.12764991261065006ms
60 vertexes:
Attempt 1: 0.41660014539957047ms
Attempt 2: 0.39400020614266396ms
Attempt 3: 0.34169992431998253ms
Attempt 4: 0.27089985087513924ms
Attempt 5: 0.32190000638365746ms
Attempt 6: 0.3222995437681675ms
Attempt 7: 0.33009983599185944ms
Attempt 8: 0.26379991322755814ms
Attempt 9: 0.38109999150037766ms
Attempt 10: 0.3534001298248768ms
Average time: 0.3395799547433853ms
80 vertexes:
Attempt 1: 0.7477998733520508ms
Attempt 2: 0.5834000185132027ms
Attempt 3: 0.9111999534070492ms
Attempt 4: 1.011400017887354ms
Attempt 5: 0.9343996644020081ms
Attempt 6: 0.9197997860610485ms
Attempt 7: 0.9241001680493355ms
Attempt 8: 0.8505997247993946ms
Attempt 9: 0.826799776405096ms
Attempt 10: 0.9469003416597843ms
Average time: 0.8656399324536324ms
100 vertexes:
Attempt 1: 1.4233998954296112ms
Attempt 2: 1.6715996898710728ms
Attempt 3: 1.6753999516367912ms
Attempt 4: 1.5759002417325974ms
Attempt 5: 1.6569998115301132ms
Attempt 6: 1.3494999147951603ms
Attempt 7: 1.6618999652564526ms
Attempt 8: 1.5516998246312141ms
Attempt 9: 1.5588002279400826ms
Attempt 10: 1.4072996564209461ms
Average time: 1.5532499179244041ms
120 vertexes:
Attempt 1: 2.8193998150527477ms
Attempt 2: 2.7072997763752937ms
Attempt 3: 2.69029987975955ms
Attempt 4: 2.5874003767967224ms
Attempt 5: 2.661599777638912ms
Attempt 6: 2.5466997176408768ms
Attempt 7: 2.878500148653984ms
Attempt 8: 2.7414998039603233ms
Attempt 9: 2.7025998570024967ms
Attempt 10: 2.693700138479471ms
Average time: 2.702899929136038ms
140 vertexes:
Attempt 1: 4.340900108218193ms
Attempt 2: 4.232500214129686ms
Attempt 3: 4.285300150513649ms
Attempt 4: 4.056800156831741ms
Attempt 5: 3.960699774324894ms
Attempt 6: 3.9957999251782894ms
Attempt 7: 4.094500094652176ms
Attempt 8: 4.052900243550539ms
Attempt 9: 4.323699977248907ms
Attempt 10: 4.016199614852667ms
Average time: 4.135930025950074ms
160 vertexes:
Attempt 1: 6.214899942278862ms
Attempt 2: 5.916000343859196ms
Attempt 3: 5.979800131171942ms
Attempt 4: 5.122300237417221ms
Attempt 5: 6.481799762696028ms
Attempt 6: 5.6582000106573105ms
Attempt 7: 6.205799989402294ms
Attempt 8: 6.3820998184382915ms
Attempt 9: 6.214299704879522ms
Attempt 10: 6.440400145947933ms
Average time: 6.06156000867486ms
180 vertexes:
Attempt 1: 8.761700242757797ms
Attempt 2: 8.563500363379717ms
Attempt 3: 8.632800076156855ms
Attempt 4: 8.65430012345314ms
Attempt 5: 8.986399974673986ms
Attempt 6: 8.375000208616257ms
Attempt 7: 8.994100149720907ms
Attempt 8: 8.627000264823437ms
Attempt 9: 9.209299925714731ms
Attempt 10: 9.155899751931429ms
Average time: 8.796000108122826ms
200 vertexes:
Attempt 1: 12.29440001770854ms
Attempt 2: 12.106799986213446ms
Attempt 3: 12.012899853289127ms
Attempt 4: 12.611199636012316ms
Attempt 5: 12.406299822032452ms
Attempt 6: 11.221399996429682ms
Attempt 7: 11.760900262743235ms
Attempt 8: 12.348199728876352ms
Attempt 9: 12.400200124830008ms
Attempt 10: 11.14640012383461ms
Average time: 12.030869955196977ms
