Experiment: 20250413_044045
Density: 0.8
Vertexes: 20 - 400, delta: 10
Same vertex amount repeat times: 10

20 vertexes:
Attempt 1: 0.040700193494558334ms
Attempt 2: 0.03569992259144783ms
Attempt 3: 0.03369990736246109ms
Attempt 4: 0.03220001235604286ms
Attempt 5: 0.032700132578611374ms
Attempt 6: 0.03229966387152672ms
Attempt 7: 0.03240024670958519ms
Attempt 8: 0.03239978104829788ms
Attempt 9: 0.03260001540184021ms
Attempt 10: 0.032300129532814026ms
Average time: 0.03370000049471855ms
30 vertexes:
Attempt 1: 0.08230004459619522ms
Attempt 2: 0.08150003850460052ms
Attempt 3: 0.08200015872716904ms
Attempt 4: 0.07939990609884262ms
Attempt 5: 0.07919967174530029ms
Attempt 6: 0.07990002632141113ms
Attempt 7: 0.08590007200837135ms
Attempt 8: 0.09640026837587357ms
Attempt 9: 0.07879966869950294ms
Attempt 10: 0.08089980110526085ms
Average time: 0.08262996561825275ms
40 vertexes:
Attempt 1: 0.1620999537408352ms
Attempt 2: 0.15960028395056725ms
Attempt 3: 0.1655002124607563ms
Attempt 4: 0.1567997969686985ms
Attempt 5: 0.1584002748131752ms
Attempt 6: 0.148099847137928ms
Attempt 7: 0.15719980001449585ms
Attempt 8: 0.15409989282488823ms
Attempt 9: 0.17730006948113441ms
Attempt 10: 0.18460024148225784ms
Average time: 0.16237003728747368ms
50 vertexes:
Attempt 1: 0.2963002771139145ms
Attempt 2: 0.28849998489022255ms
Attempt 3: 0.2816002815961838ms
Attempt 4: 0.27799978852272034ms
Attempt 5: 0.2890997566282749ms
Attempt 6: 0.26879971846938133ms
Attempt 7: 0.2754996530711651ms
Attempt 8: 0.2943999134004116ms
Attempt 9: 0.2778000198304653ms
Attempt 10: 0.30089961364865303ms
Average time: 0.28508990071713924ms
60 vertexes:
Attempt 1: 0.46349968761205673ms
Attempt 2: 0.4437998868525028ms
Attempt 3: 0.45219995081424713ms
Attempt 4: 0.4850998520851135ms
Attempt 5: 0.4632999189198017ms
Attempt 6: 0.43770018965005875ms
Attempt 7: 0.435700174421072ms
Attempt 8: 0.5964003503322601ms
Attempt 9: 0.4330999217927456ms
Attempt 10: 0.4508998245000839ms
Average time: 0.46616997569799423ms
70 vertexes:
Attempt 1: 0.6723999977111816ms
Attempt 2: 0.6725997664034367ms
Attempt 3: 0.6685000844299793ms
Attempt 4: 0.6615999154746532ms
Attempt 5: 0.8400003425776958ms
Attempt 6: 0.657899770885706ms
Attempt 7: 0.6591998971998692ms
Attempt 8: 0.7166997529566288ms
Attempt 9: 0.6511998362839222ms
Attempt 10: 0.6642001681029797ms
Average time: 0.6864299532026052ms
80 vertexes:
Attempt 1: 0.9626001119613647ms
Attempt 2: 0.9833001531660557ms
